Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,18/11/2022,19:59,22°,Mây thưa,20°/27°,97%,10 km,0.75 km/giờ,22 °C,0,Kém
Cao Bằng,18/11/2022,19:59,24°,Nhiều mây,20°/28°,86%,10 km,0.6 km/giờ,21 °C,0,Kém
Bắc Kạn,18/11/2022,19:59,24°,Nhiều mây,20°/29°,90%,10 km,0.6 km/giờ,22 °C,0,Rất kém
Tuyên Quang,18/11/2022,19:59,24°,Mây cụm,21°/28°,87%,10 km,0.62 km/giờ,22 °C,0,Rất kém
Thái Nguyên,18/11/2022,19:59,27°,Nhiều mây,21°/30°,80%,10 km,2.73 km/giờ,23 °C,0,Rất kém
Lạng Sơn,18/11/2022,19:59,24°,Nhiều mây,18°/29°,79%,10 km,1.41 km/giờ,20 °C,0,Kém
Quảng Ninh,18/11/2022,19:59,22°,Bầu trời quang đãng,20°/29°,95%,10 km,0.68 km/giờ,22 °C,0,Kém
Bắc Giang,18/11/2022,19:59,27°,Nhiều mây,21°/31°,78%,10 km,4.22 km/giờ,23 °C,0,Kém
Phú Thọ,18/11/2022,19:59,26°,Mây rải rác,22°/30°,80%,10 km,1.61 km/giờ,22 °C,0,Rất kém
Lào Cai,18/11/2022,19:59,23°,Mây thưa,22°/29°,93%,10 km,0.76 km/giờ,22 °C,0,Khá
"Điện Biên",18/11/2022,19:59,22°,Mây thưa,19°/30°,85%,10 km,1.03 km/giờ,20 °C,0,Khá
Lai Châu,18/11/2022,19:59,23°,Mây cụm,20°/29°,91%,10 km,0.72 km/giờ,21 °C,0,Tốt
Sơn La,18/11/2022,19:59,21°,Bầu trời quang đãng,18°/27°,93%,10 km,1.14 km/giờ,19 °C,0,Khá
Yên Bái,18/11/2022,19:59,25°,Bầu trời quang đãng,22°/28°,85%,10 km,0.32 km/giờ,22 °C,0,Rất kém
Hoà Bình,18/11/2022,19:59,25°,Mây rải rác,22°/29°,90%,10 km,1.82 km/giờ,23 °C,0,Kém
Hà Nội,18/11/2022,19:59,27°,Mây rải rác,22°/31°,78%,10 km,4.12 km/giờ,23 °C,0,Rất kém
