Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,19/11/2022,00:02,22°,Mây cụm,20°/27°,93%,10 km,0.59 km/giờ,21 °C,0,Kém
Cao Bằng,19/11/2022,00:02,23°,Nhiều mây,20°/28°,92%,10 km,1.16 km/giờ,22 °C,0,Kém
Bắc Kạn,19/11/2022,00:02,23°,Nhiều mây,20°/29°,97%,10 km,0.99 km/giờ,23 °C,0,Rất kém
Tuyên Quang,19/11/2022,00:02,24°,Mây cụm,21°/28°,92%,10 km,0.65 km/giờ,22 °C,0,Rất kém
Thái Nguyên,19/11/2022,00:02,26°,Nhiều mây,21°/30°,88%,10 km,1.89 km/giờ,24 °C,0,Kém
Lạng Sơn,19/11/2022,00:02,23°,Nhiều mây,18°/29°,84%,10 km,1.05 km/giờ,20 °C,0,Trung bình
Quảng Ninh,19/11/2022,00:02,22°,Bầu trời quang đãng,20°/29°,92%,10 km,0.68 km/giờ,21 °C,0,Trung bình
Bắc Giang,19/11/2022,00:02,26°,Nhiều mây,21°/31°,79%,10 km,2.34 km/giờ,22 °C,0,Kém
Phú Thọ,19/11/2022,00:02,24°,Mây rải rác,22°/30°,90%,10 km,2.01 km/giờ,22 °C,0,Rất kém
Lào Cai,19/11/2022,00:02,23°,Mây cụm,22°/29°,96%,10 km,0.26 km/giờ,22 °C,0,Khá
"Điện Biên",19/11/2022,00:02,21°,Mây rải rác,19°/30°,94%,10 km,1.07 km/giờ,20 °C,0,Trung bình
Lai Châu,19/11/2022,00:02,21°,Mây cụm,20°/29°,95%,10 km,0.82 km/giờ,20 °C,0,Tốt
Sơn La,19/11/2022,00:02,19°,Mây thưa,18°/27°,96%,10 km,0.96 km/giờ,19 °C,0,Khá
Yên Bái,19/11/2022,00:02,25°,Mây cụm,22°/28°,88%,10 km,1.48 km/giờ,22 °C,0,Rất kém
Hoà Bình,19/11/2022,00:02,24°,Mây cụm,22°/29°,93%,10 km,1.38 km/giờ,23 °C,0,Trung bình
Hà Nội,19/11/2022,00:02,26°,Mây cụm,22°/31°,83%,10 km,3.09 km/giờ,23 °C,0,Rất kém
Vĩnh Phúc,19/11/2022,00:02,26°,Mây cụm,22°/30°,87%,10 km,3.04 km/giờ,24 °C,0,Rất kém
Bắc Ninh,19/11/2022,00:02,26°,Nhiều mây,22°/31°,80%,10 km,3 km/giờ,22 °C,0,Kém
Hải Dương,19/11/2022,00:02,26°,Mây cụm,22°/31°,83%,10 km,3.14 km/giờ,23 °C,0,Kém
Hải Phòng,19/11/2022,00:02,26°,Mây thưa,22°/31°,83%,10 km,2.06 km/giờ,23 °C,0,Kém
Hưng Yên,19/11/2022,00:02,25°,Mây cụm,22°/31°,86%,10 km,2.48 km/giờ,22 °C,0,Rất kém
Thái Bình,19/11/2022,00:02,25°,Mây thưa,23°/29°,84%,10 km,3.21 km/giờ,22 °C,0,Kém
Hà Nam,19/11/2022,00:03,25°,Mây cụm,23°/31°,87%,10 km,2.22 km/giờ,23 °C,0,Rất kém
Nam Định,19/11/2022,00:03,25°,Mây thưa,23°/30°,86%,10 km,2.68 km/giờ,23 °C,0,Rất kém
Ninh Bình,19/11/2022,00:03,25°,Mây rải rác,23°/29°,89%,10 km,1.95 km/giờ,23 °C,0,Rất kém
Thanh Hóa,19/11/2022,00:03,24°,Mây rải rác,23°/28°,91%,10 km,1.32 km/giờ,23 °C,0,Kém
Nghệ An,19/11/2022,00:03,24°,Mây rải rác,23°/28°,90%,10 km,1.35 km/giờ,23 °C,0,Trung bình
Hà Tĩnh,19/11/2022,00:03,24°,Mây cụm,23°/28°,91%,10 km,0.92 km/giờ,22 °C,0,Kém
Quảng Bình,19/11/2022,00:03,24°,Mây rải rác,22°/29°,96%,10 km,0.91 km/giờ,23 °C,0,Tốt
Quảng Trị,19/11/2022,00:03,24°,Mây cụm,22°/29°,93%,10 km,1.59 km/giờ,22 °C,0,Khá
Thừa Thiên Huế,19/11/2022,00:03,26°,Mây rải rác,22°/29°,89%,10 km,2.06 km/giờ,24 °C,0,Khá
"Đà Nẵng",19/11/2022,00:03,26°,Mây rải rác,24°/28°,89%,8 km,0.51 km/giờ,24 °C,0,Khá
Quảng Nam,19/11/2022,00:03,25°,Nhiều mây,23°/28°,87%,10 km,0.56 km/giờ,22 °C,0,Khá
Quảng Ngãi,19/11/2022,00:03,24°,Nhiều mây,22°/28°,89%,10 km,1.94 km/giờ,22 °C,0,Khá
Bình Định,19/11/2022,00:03,25°,Nhiều mây,24°/27°,88%,10 km,5.22 km/giờ,23 °C,0,Tốt
Phú Yên,19/11/2022,00:03,22°,Nhiều mây,21°/25°,97%,10 km,0.59 km/giờ,21 °C,0,Tốt
Khánh Hòa,19/11/2022,00:03,27°,Nhiều mây,22°/27°,94%,10 km,2.14 km/giờ,26 °C,0,Khá
Ninh Thuận,19/11/2022,00:03,25°,Nhiều mây,22°/26°,84%,10 km,2.85 km/giờ,22 °C,0,Tốt
Bình Thuận,19/11/2022,00:03,22°,Nhiều mây,21°/25°,93%,10 km,1.37 km/giờ,21 °C,0,Tốt
Kon Tum,19/11/2022,00:03,20°,Nhiều mây,19°/30°,94%,10 km,1.19 km/giờ,19 °C,0,Tốt
Gia Lai,19/11/2022,00:03,20°,Nhiều mây,19°/26°,98%,8.92 km,1.07 km/giờ,20 °C,0,Tốt
"Đắk Lắk",19/11/2022,00:03,21°,Mưa nhẹ,19°/23°,92%,10 km,2.67 km/giờ,19 °C,0,Tốt
"Đắk Nông",19/11/2022,00:03,21°,Mưa nhẹ,19°/23°,92%,10 km,2.67 km/giờ,19 °C,0,Tốt
Lâm Đồng,19/11/2022,00:03,19°,Nhiều mây,18°/23°,94%,10 km,1.75 km/giờ,18 °C,0,Khá
Bình Phước,19/11/2022,00:03,21°,Nhiều mây,20°/29°,97%,10 km,1.36 km/giờ,21 °C,0,Tốt
Tây Ninh,19/11/2022,00:03,25°,Mưa vừa,22°/30°,90%,10 km,1.71 km/giờ,23 °C,0,Kém
Bình Dương,19/11/2022,00:03,25°,Mây cụm,22°/29°,100%,5 km,1.54 km/giờ,26 °C,0,Rất kém
"Đồng Nai",19/11/2022,00:03,25°,Nhiều mây,22°/29°,89%,10 km,0.56 km/giờ,24 °C,0,Rất kém
Bà Rịa - Vũng Tàu,19/11/2022,00:03,24°,Mưa vừa,22°/29°,90%,10 km,1.95 km/giờ,22 °C,0,Kém
Hồ Chí Minh,19/11/2022,00:03,25°,Mây cụm,22°/29°,100%,5 km,1.54 km/giờ,25 °C,0,Rất kém
Long An,19/11/2022,00:03,25°,Nhiều mây,22°/29°,89%,10 km,2.33 km/giờ,23 °C,0,Rất kém
Tiền Giang,19/11/2022,00:03,25°,Nhiều mây,22°/28°,84%,10 km,2.29 km/giờ,22 °C,0,Rất kém
Bến Tre,19/11/2022,00:03,26°,Nhiều mây,22°/28°,79%,10 km,2.95 km/giờ,22 °C,0,Rất kém
Trà Vinh,19/11/2022,00:03,26°,Nhiều mây,22°/29°,80%,10 km,4.03 km/giờ,22 °C,0,Kém
Vĩnh Long,19/11/2022,00:03,24°,Nhiều mây,22°/29°,87%,10 km,1.37 km/giờ,22 °C,0,Rất kém
"Đồng Tháp",19/11/2022,00:03,24°,Nhiều mây,22°/29°,83%,10 km,2.52 km/giờ,21 °C,0,Rất kém
An Giang,19/11/2022,00:03,24°,Nhiều mây,22°/29°,84%,10 km,1.98 km/giờ,21 °C,0,Rất kém
Kiên Giang,19/11/2022,00:03,25°,Nhiều mây,23°/27°,89%,9.34 km,2.81 km/giờ,23 °C,0,Kém
Cần Thơ,19/11/2022,00:03,24°,Mây cụm,22°/28°,100%,10 km,1.54 km/giờ,24 °C,0,Rất kém
Hậu Giang,19/11/2022,00:03,24°,Nhiều mây,22°/27°,92%,10 km,2.39 km/giờ,23 °C,0,Rất kém
Sóc Trăng,19/11/2022,00:03,26°,Nhiều mây,22°/26°,83%,10 km,4.26 km/giờ,23 °C,0,Rất kém
Bạc Liêu,19/11/2022,00:03,26°,Nhiều mây,22°/26°,85%,10 km,5.34 km/giờ,23 °C,0,Kém
Cà Mau,19/11/2022,00:03,24°,Nhiều mây,22°/25°,94%,10 km,1.95 km/giờ,23 °C,0,Rất kém
