Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,19/11/2022,09:37,23°,Nhiều mây,20°/27°,96%,8.66 km,1.05 km/giờ,22 °C,1.21,Khá
Cao Bằng,19/11/2022,09:37,23°,Nhiều mây,19°/28°,92%,10 km,0.84 km/giờ,22 °C,0,Khá
Bắc Kạn,19/11/2022,09:37,24°,Nhiều mây,20°/28°,93%,10 km,0.07 km/giờ,22 °C,0.26,Trung bình
Tuyên Quang,19/11/2022,09:37,23°,Nhiều mây,20°/28°,95%,10 km,0.44 km/giờ,23 °C,0.25,Trung bình
Thái Nguyên,19/11/2022,09:37,26°,Mây cụm,20°/30°,73%,10 km,1.32 km/giờ,21 °C,1.73,Kém
Lạng Sơn,19/11/2022,09:37,25°,Nhiều mây,18°/30°,72%,10 km,1.4 km/giờ,20 °C,2.01,Khá
Quảng Ninh,19/11/2022,09:37,27°,Bầu trời quang đãng,20°/29°,66%,10 km,2.84 km/giờ,20 °C,0,Kém
Bắc Giang,19/11/2022,09:37,26°,Nhiều mây,21°/30°,71%,10 km,1.19 km/giờ,20 °C,2.55,Kém
Phú Thọ,19/11/2022,09:37,26°,Nhiều mây,21°/29°,80%,10 km,2.47 km/giờ,22 °C,0,Rất kém
Lào Cai,19/11/2022,09:37,24°,Nhiều mây,22°/28°,93%,10 km,0.56 km/giờ,23 °C,0,Khá
"Điện Biên",19/11/2022,09:37,22°,Nhiều mây,18°/29°,91%,10 km,0.72 km/giờ,21 °C,0,Tốt
Lai Châu,19/11/2022,09:37,26°,Mây cụm,19°/29°,78%,10 km,0.63 km/giờ,22 °C,1.67,Tốt
Sơn La,19/11/2022,09:37,24°,Nhiều mây,17°/26°,82%,10 km,1.31 km/giờ,21 °C,1.28,Khá
Yên Bái,19/11/2022,09:37,24°,Nhiều mây,21°/28°,92%,8.79 km,1.03 km/giờ,23 °C,0,Rất kém
Hoà Bình,19/11/2022,09:37,26°,Mây cụm,21°/28°,84%,10 km,1.46 km/giờ,23 °C,2.11,Rất kém
Hà Nội,19/11/2022,09:37,26°,Mây cụm,22°/30°,83%,7 km,3.6 km/giờ,23 °C,0,Rất kém
Vĩnh Phúc,19/11/2022,09:37,26°,Nhiều mây,22°/30°,79%,10 km,2.76 km/giờ,22 °C,2.54,Rất kém
Bắc Ninh,19/11/2022,09:37,26°,Nhiều mây,22°/30°,71%,10 km,2.43 km/giờ,20 °C,0,Rất kém
Hải Dương,19/11/2022,09:37,27°,Mây cụm,22°/30°,66%,10 km,4.32 km/giờ,20 °C,1.94,Kém
Hải Phòng,19/11/2022,09:37,28°,Bầu trời quang đãng,22°/30°,69%,10 km,4.63 km/giờ,22 °C,0,Kém
Hưng Yên,19/11/2022,09:37,28°,Mây cụm,22°/30°,68%,10 km,4.04 km/giờ,21 °C,0,Rất kém
Thái Bình,19/11/2022,09:37,28°,Mây cụm,23°/29°,64%,10 km,5.8 km/giờ,21 °C,2.42,Kém
Hà Nam,19/11/2022,09:37,29°,Mây cụm,22°/30°,62%,10 km,3.49 km/giờ,21 °C,0,Rất kém
Nam Định,19/11/2022,09:37,28°,Mây rải rác,23°/30°,68%,10 km,5 km/giờ,21 °C,0,Rất kém
Ninh Bình,19/11/2022,09:37,27°,Mây rải rác,23°/29°,71%,10 km,4.08 km/giờ,21 °C,4.51,Rất kém
Thanh Hóa,19/11/2022,09:37,27°,Nhiều mây,22°/28°,72%,10 km,3.35 km/giờ,22 °C,2.45,Rất kém
Nghệ An,19/11/2022,09:37,26°,Nhiều mây,23°/28°,78%,10 km,1.58 km/giờ,22 °C,0,Kém
Hà Tĩnh,19/11/2022,09:37,26°,Nhiều mây,23°/28°,79%,10 km,1.81 km/giờ,22 °C,0,Kém
Quảng Bình,19/11/2022,09:37,26°,Nhiều mây,22°/27°,83%,10 km,1.5 km/giờ,23 °C,2.11,Trung bình
Quảng Trị,19/11/2022,09:37,27°,Nhiều mây,23°/29°,74%,10 km,1.53 km/giờ,22 °C,3.2,Khá
Thừa Thiên Huế,19/11/2022,09:37,27°,Mây cụm,23°/28°,83%,10 km,1.54 km/giờ,24 °C,5.53,Khá
"Đà Nẵng",19/11/2022,09:37,28°,Mây rải rác,24°/28°,78%,10 km,3.09 km/giờ,24 °C,2.92,Khá
Quảng Nam,19/11/2022,09:37,26°,Nhiều mây,23°/27°,79%,10 km,2.16 km/giờ,22 °C,0,Tốt
Quảng Ngãi,19/11/2022,09:37,27°,Nhiều mây,23°/27°,76%,10 km,3.25 km/giờ,22 °C,0,Tốt
Bình Định,19/11/2022,09:37,24°,Mưa vừa,23°/26°,92%,6.17 km,4.96 km/giờ,23 °C,0.89,Tốt
Phú Yên,19/11/2022,09:37,22°,Nhiều mây,21°/23°,98%,5.38 km,2.08 km/giờ,21 °C,0,Tốt
Khánh Hòa,19/11/2022,09:37,25°,Nhiều mây,22°/25°,96%,3.37 km,2.88 km/giờ,25 °C,0,Tốt
Ninh Thuận,19/11/2022,09:37,26°,Nhiều mây,22°/26°,80%,10 km,1.86 km/giờ,22 °C,1.56,Khá
Bình Thuận,19/11/2022,09:38,24°,Mưa nhẹ,21°/26°,85%,10 km,0.54 km/giờ,21 °C,0,Tốt
Kon Tum,19/11/2022,09:38,26°,Nhiều mây,19°/27°,63%,10 km,2.33 km/giờ,18 °C,3.79,Tốt
Gia Lai,19/11/2022,09:38,22°,Nhiều mây,19°/25°,92%,10 km,1.32 km/giờ,20 °C,3.47,Tốt
"Đắk Lắk",19/11/2022,09:38,21°,Mưa vừa,19°/21°,93%,10 km,1.86 km/giờ,20 °C,0,Tốt
"Đắk Nông",19/11/2022,09:38,21°,Mưa vừa,19°/21°,93%,10 km,1.86 km/giờ,20 °C,0,Tốt
Lâm Đồng,19/11/2022,09:38,20°,Nhiều mây,18°/22°,85%,10 km,0.98 km/giờ,18 °C,0.67,Tốt
Bình Phước,19/11/2022,09:38,26°,Mưa vừa,20°/26°,75%,10 km,1.98 km/giờ,21 °C,0,Tốt
Tây Ninh,19/11/2022,09:38,26°,Nhiều mây,22°/27°,87%,10 km,2.79 km/giờ,23 °C,3.03,Tốt
Bình Dương,19/11/2022,09:38,27°,Mây cụm,22°/26°,94%,10 km,2.06 km/giờ,26 °C,2.36,Trung bình
"Đồng Nai",19/11/2022,09:38,27°,Nhiều mây,22°/26°,86%,10 km,2.26 km/giờ,23 °C,2.36,Khá
Bà Rịa - Vũng Tàu,19/11/2022,09:38,24°,Mưa nhẹ,22°/24°,90%,10 km,1.12 km/giờ,23 °C,2.72,Khá
Hồ Chí Minh,19/11/2022,09:38,27°,Mây cụm,22°/27°,94%,10 km,2.06 km/giờ,26 °C,2.36,Rất kém
Long An,19/11/2022,09:38,25°,Nhiều mây,22°/27°,88%,10 km,2.25 km/giờ,23 °C,1.91,Rất kém
Tiền Giang,19/11/2022,09:38,25°,Nhiều mây,21°/25°,92%,10 km,0.63 km/giờ,23 °C,0,Rất kém
Bến Tre,19/11/2022,09:38,25°,Nhiều mây,21°/25°,93%,10 km,1.12 km/giờ,23 °C,1.18,Rất kém
Trà Vinh,19/11/2022,09:38,24°,Nhiều mây,21°/25°,94%,10 km,1.77 km/giờ,23 °C,0,Rất kém
Vĩnh Long,19/11/2022,09:38,25°,Mưa nhẹ,21°/26°,85%,10 km,1.4 km/giờ,22 °C,2.34,Rất kém
"Đồng Tháp",19/11/2022,09:38,25°,Nhiều mây,22°/27°,81%,10 km,0.4 km/giờ,22 °C,0,Rất kém
An Giang,19/11/2022,09:38,25°,Nhiều mây,22°/28°,81%,10 km,0.33 km/giờ,22 °C,0,Rất kém
Kiên Giang,19/11/2022,09:38,25°,Nhiều mây,22°/27°,86%,10 km,2.64 km/giờ,23 °C,2.6,Khá
Cần Thơ,19/11/2022,09:38,25°,Mưa nhẹ,21°/26°,100%,10 km,2.06 km/giờ,25 °C,1.36,Rất kém
Hậu Giang,19/11/2022,09:38,25°,Nhiều mây,22°/26°,89%,10 km,2.6 km/giờ,23 °C,2.6,Rất kém
Sóc Trăng,19/11/2022,09:38,24°,Mưa nhẹ,22°/25°,94%,10 km,3.43 km/giờ,23 °C,1.8,Rất kém
Bạc Liêu,19/11/2022,09:38,24°,Nhiều mây,22°/25°,90%,10 km,4.66 km/giờ,23 °C,0.92,Kém
Cà Mau,19/11/2022,09:38,26°,Nhiều mây,22°/27°,87%,10 km,3.64 km/giờ,23 °C,0,Khá
