Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,25/10/2022,09:31,26°,Mây thưa,21°/28°,72%,10 km,0.8 km/giờ,20 °C,3.3,Rất kém
Cao Bằng,25/10/2022,09:31,25°,Mây cụm,21°/28°,63%,10 km,0.7 km/giờ,17 °C,3.44,Rất kém
Bắc Kạn,25/10/2022,09:31,27°,Mây rải rác,21°/27°,68%,10 km,1 km/giờ,20 °C,3.36,Rất kém
Tuyên Quang,25/10/2022,09:31,27°,Mây thưa,22°/28°,66%,10 km,0.68 km/giờ,20 °C,0,Rất kém
Thái Nguyên,25/10/2022,09:31,27°,Nhiều mây,22°/28°,75%,10 km,1.59 km/giờ,22 °C,0,Rất kém
Lạng Sơn,25/10/2022,09:31,24°,Nhiều mây,19°/28°,77%,10 km,1.21 km/giờ,20 °C,3.53,Rất kém
Quảng Ninh,25/10/2022,09:31,25°,Nhiều mây,21°/27°,78%,10 km,2.77 km/giờ,21 °C,1.12,Rất kém
Bắc Giang,25/10/2022,09:31,27°,Nhiều mây,22°/28°,77%,10 km,0.66 km/giờ,23 °C,2.09,Rất kém
Phú Thọ,25/10/2022,09:31,26°,Mây cụm,22°/27°,70%,10 km,2.22 km/giờ,20 °C,0,Rất kém
Lào Cai,25/10/2022,09:31,25°,Mây cụm,22°/30°,80%,10 km,0.77 km/giờ,22 °C,2.83,Rất kém
"Điện Biên",25/10/2022,09:31,26°,Nhiều mây,19°/33°,60%,10 km,1.12 km/giờ,18 °C,0,Kém
Lai Châu,25/10/2022,09:31,26°,Mây rải rác,20°/30°,79%,10 km,0.71 km/giờ,22 °C,0,Kém
Sơn La,25/10/2022,09:31,24°,Mây cụm,19°/28°,70%,10 km,1.35 km/giờ,18 °C,0,Rất kém
Yên Bái,25/10/2022,09:31,27°,Mây rải rác,22°/28°,68%,10 km,1.46 km/giờ,20 °C,0,Rất kém
Hoà Bình,25/10/2022,09:31,27°,Mây cụm,22°/27°,72%,10 km,1.95 km/giờ,21 °C,0,Rất kém
Hà Nội,25/10/2022,09:31,27°,Bầu trời quang đãng,22°/27°,69%,10 km,1.54 km/giờ,20 °C,2.79,Rất kém
Vĩnh Phúc,25/10/2022,09:32,27°,Nhiều mây,22°/27°,73%,10 km,2.57 km/giờ,22 °C,0,Rất kém
Bắc Ninh,25/10/2022,09:32,27°,Nhiều mây,22°/28°,82%,10 km,1.23 km/giờ,24 °C,0,Rất kém
Hải Dương,25/10/2022,09:32,24°,Nhiều mây,22°/28°,85%,10 km,1.11 km/giờ,21 °C,1.25,Rất kém
Hải Phòng,25/10/2022,09:32,24°,Mây rải rác,22°/28°,100%,10 km,3.09 km/giờ,24 °C,0.62,Rất kém
Hưng Yên,25/10/2022,09:32,24°,Nhiều mây,22°/27°,87%,10 km,0.73 km/giờ,22 °C,0,Rất kém
Thái Bình,25/10/2022,09:32,25°,Nhiều mây,23°/27°,84%,10 km,2.75 km/giờ,22 °C,0.46,Rất kém
Hà Nam,25/10/2022,09:32,24°,Nhiều mây,22°/27°,86%,10 km,0.8 km/giờ,22 °C,0,Rất kém
Nam Định,25/10/2022,09:32,24°,Nhiều mây,23°/27°,84%,10 km,1.38 km/giờ,22 °C,0,Rất kém
Ninh Bình,25/10/2022,09:32,24°,Nhiều mây,22°/26°,89%,10 km,1.28 km/giờ,22 °C,1.61,Rất kém
Thanh Hóa,25/10/2022,09:32,23°,Nhiều mây,22°/25°,91%,10 km,1.68 km/giờ,22 °C,0,Rất kém
Nghệ An,25/10/2022,09:32,23°,Nhiều mây,22°/24°,93%,10 km,5.45 km/giờ,22 °C,0,Kém
Hà Tĩnh,25/10/2022,09:32,23°,Nhiều mây,22°/24°,95%,3.36 km,4.92 km/giờ,23 °C,0.22,Khá
Quảng Bình,25/10/2022,09:32,23°,Mưa vừa,23°/27°,99%,1.8 km,0.4 km/giờ,23 °C,0,Khá
Quảng Trị,25/10/2022,09:32,24°,Mưa cường độ nặng,23°/27°,95%,10 km,2.42 km/giờ,23 °C,0,Khá
Thừa Thiên Huế,25/10/2022,09:32,24°,Sương mờ,23°/26°,100%,1.7 km,1.54 km/giờ,23 °C,0,Trung bình
"Đà Nẵng",25/10/2022,09:32,25°,Mây cụm,24°/26°,94%,4 km,1.03 km/giờ,24 °C,3.65,Kém
Quảng Nam,25/10/2022,09:32,26°,Nhiều mây,24°/27°,86%,6.5 km,2.24 km/giờ,24 °C,0,Khá
Quảng Ngãi,25/10/2022,09:32,27°,Nhiều mây,24°/27°,83%,10 km,3.13 km/giờ,24 °C,0,Tốt
Bình Định,25/10/2022,09:32,27°,Nhiều mây,24°/28°,81%,10 km,4.14 km/giờ,24 °C,0,Rất kém
