Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,30/10/2022,16:59,24°,Mây cụm,15°/29°,84%,10 km,0.51 km/giờ,21 °C,0.17,Kém
Cao Bằng,30/10/2022,16:59,25°,Mây cụm,16°/28°,67%,10 km,2.36 km/giờ,18 °C,0,Kém
Bắc Kạn,30/10/2022,16:59,25°,Mây cụm,16°/29°,76%,10 km,0.92 km/giờ,20 °C,0.19,Kém
Tuyên Quang,30/10/2022,16:59,25°,Mây cụm,16°/30°,71%,10 km,0.44 km/giờ,20 °C,0,Rất kém
Thái Nguyên,30/10/2022,16:59,29°,Mây cụm,19°/31°,63%,10 km,1.63 km/giờ,21 °C,0,Kém
Lạng Sơn,30/10/2022,16:59,25°,Mây cụm,16°/27°,63%,10 km,2.18 km/giờ,17 °C,0,Kém
Quảng Ninh,30/10/2022,16:59,24°,Mây cụm,19°/28°,70%,10 km,0.33 km/giờ,19 °C,0,Rất kém
Bắc Giang,30/10/2022,16:59,29°,Mây rải rác,21°/31°,58%,10 km,2.52 km/giờ,20 °C,0,Rất kém
Phú Thọ,30/10/2022,16:59,27°,Mây cụm,18°/31°,61%,10 km,1.22 km/giờ,19 °C,0.21,Rất kém
Lào Cai,30/10/2022,16:59,26°,Mây cụm,18°/32°,71%,10 km,0.82 km/giờ,21 °C,0,Kém
"Điện Biên",30/10/2022,16:59,25°,Mây rải rác,16°/30°,67%,10 km,1.1 km/giờ,19 °C,0.22,Rất kém
Lai Châu,30/10/2022,16:59,25°,Nhiều mây,16°/30°,78%,10 km,1.25 km/giờ,21 °C,0,Kém
Sơn La,30/10/2022,16:59,23°,Mây cụm,15°/27°,77%,10 km,1.32 km/giờ,19 °C,0.26,Rất kém
Yên Bái,30/10/2022,16:59,26°,Mây thưa,19°/29°,66%,10 km,0.39 km/giờ,20 °C,0,Rất kém
Hoà Bình,30/10/2022,16:59,26°,Nhiều mây,19°/29°,68%,10 km,0.98 km/giờ,20 °C,0,Rất kém
Hà Nội,30/10/2022,16:59,29°,Mây thưa,21°/31°,61%,10 km,3.09 km/giờ,20 °C,0,Rất kém
Vĩnh Phúc,30/10/2022,16:59,29°,Mây cụm,19°/31°,59%,10 km,1.24 km/giờ,20 °C,0,Rất kém
Bắc Ninh,30/10/2022,16:59,29°,Mây cụm,21°/31°,58%,10 km,2.23 km/giờ,20 °C,0,Rất kém
Hải Dương,30/10/2022,16:59,26°,Mây rải rác,21°/30°,58%,10 km,2.96 km/giờ,17 °C,0,Rất kém
Hải Phòng,30/10/2022,16:59,26°,Mây thưa,20°/29°,73%,10 km,3.6 km/giờ,21 °C,0.17,Rất kém
Hưng Yên,30/10/2022,16:59,28°,Mây rải rác,21°/30°,56%,10 km,3.17 km/giờ,18 °C,0.18,Rất kém
Thái Bình,30/10/2022,16:59,27°,Mây cụm,21°/29°,62%,10 km,2.35 km/giờ,19 °C,0.2,Rất kém
Hà Nam,30/10/2022,16:59,27°,Mây rải rác,21°/30°,57%,10 km,2.89 km/giờ,18 °C,0.2,Rất kém
Nam Định,30/10/2022,16:59,27°,Mây cụm,21°/30°,59%,10 km,2.85 km/giờ,19 °C,0,Rất kém
Ninh Bình,30/10/2022,16:59,27°,Nhiều mây,21°/30°,61%,10 km,2.35 km/giờ,19 °C,0,Rất kém
Thanh Hóa,30/10/2022,16:59,25°,Nhiều mây,21°/29°,75%,10 km,1.91 km/giờ,20 °C,0,Rất kém
