Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,18/11/2022,22:16,22°,Mây rải rác,20°/27°,97%,10 km,0.72 km/giờ,21 °C,0,Kém
Cao Bằng,18/11/2022,22:16,23°,Nhiều mây,20°/28°,89%,10 km,0.82 km/giờ,22 °C,0,Kém
Bắc Kạn,18/11/2022,22:16,23°,Nhiều mây,20°/29°,95%,10 km,0.88 km/giờ,23 °C,0,Rất kém
Tuyên Quang,18/11/2022,22:16,24°,Mây cụm,21°/28°,89%,10 km,0.51 km/giờ,22 °C,0,Rất kém
Thái Nguyên,18/11/2022,22:16,26°,Nhiều mây,21°/30°,86%,10 km,2.05 km/giờ,23 °C,0,Rất kém
Lạng Sơn,18/11/2022,22:16,24°,Nhiều mây,18°/29°,82%,10 km,1.11 km/giờ,20 °C,0,Kém
Quảng Ninh,18/11/2022,22:16,22°,Bầu trời quang đãng,20°/29°,93%,10 km,0.7 km/giờ,21 °C,0,Kém
Bắc Giang,18/11/2022,22:16,26°,Nhiều mây,21°/31°,79%,10 km,3.25 km/giờ,22 °C,0,Kém
Phú Thọ,18/11/2022,22:16,25°,Mây rải rác,22°/30°,84%,10 km,2.46 km/giờ,22 °C,0,Rất kém
Lào Cai,18/11/2022,22:16,23°,Mây rải rác,22°/29°,96%,10 km,0.22 km/giờ,22 °C,0,Khá
"Điện Biên",18/11/2022,22:16,21°,Mây thưa,19°/30°,93%,10 km,1.15 km/giờ,20 °C,0,Khá
Lai Châu,18/11/2022,22:16,21°,Mây rải rác,20°/29°,94%,10 km,0.75 km/giờ,20 °C,0,Tốt
Sơn La,18/11/2022,22:16,20°,Bầu trời quang đãng,18°/27°,95%,10 km,1.18 km/giờ,19 °C,0,Khá
Yên Bái,18/11/2022,22:16,25°,Mây rải rác,22°/28°,83%,10 km,0.56 km/giờ,22 °C,0,Rất kém
Hoà Bình,18/11/2022,22:16,24°,Mây rải rác,22°/29°,93%,10 km,1.67 km/giờ,23 °C,0,Kém
Hà Nội,18/11/2022,22:16,26°,Mây thưa,22°/31°,89%,9 km,5.14 km/giờ,24 °C,0,Rất kém
Vĩnh Phúc,18/11/2022,22:16,26°,Mây rải rác,22°/30°,85%,10 km,3.11 km/giờ,23 °C,0,Rất kém
Bắc Ninh,18/11/2022,22:16,26°,Nhiều mây,22°/31°,81%,10 km,3.89 km/giờ,23 °C,0,Kém
Hải Dương,18/11/2022,22:16,25°,Mây cụm,22°/31°,84%,10 km,3.77 km/giờ,22 °C,0,Kém
Hải Phòng,18/11/2022,22:16,25°,Mây thưa,22°/31°,88%,10 km,1.03 km/giờ,23 °C,0,Kém
Hưng Yên,18/11/2022,22:16,25°,Mây cụm,22°/31°,85%,10 km,3.03 km/giờ,23 °C,0,Kém
Thái Bình,18/11/2022,22:16,26°,Bầu trời quang đãng,23°/29°,84%,10 km,3.6 km/giờ,23 °C,0,Kém
Hà Nam,18/11/2022,22:16,25°,Mây cụm,23°/31°,85%,10 km,2.7 km/giờ,23 °C,0,Rất kém
Nam Định,18/11/2022,22:16,25°,Mây thưa,23°/30°,85%,10 km,3.12 km/giờ,23 °C,0,Rất kém
Ninh Bình,18/11/2022,22:16,25°,Mây rải rác,23°/29°,88%,10 km,2.13 km/giờ,23 °C,0,Rất kém
Thanh Hóa,18/11/2022,22:16,25°,Mây thưa,23°/28°,90%,10 km,1.51 km/giờ,23 °C,0,Kém
Nghệ An,18/11/2022,22:16,25°,Mây cụm,23°/28°,90%,10 km,2.26 km/giờ,23 °C,0,Trung bình
Hà Tĩnh,18/11/2022,22:16,24°,Mây cụm,23°/28°,91%,10 km,1.92 km/giờ,23 °C,0,Trung bình
Quảng Bình,18/11/2022,22:16,24°,Mây rải rác,22°/29°,96%,10 km,0.82 km/giờ,23 °C,0,Khá
Quảng Trị,18/11/2022,22:16,24°,Mây cụm,22°/29°,92%,10 km,1.97 km/giờ,23 °C,0,Khá
Thừa Thiên Huế,18/11/2022,22:16,26°,Mây rải rác,22°/29°,89%,10 km,1.54 km/giờ,24 °C,0,Khá
"Đà Nẵng",18/11/2022,22:16,26°,Mây rải rác,24°/28°,89%,10 km,1.03 km/giờ,24 °C,0,Tốt
Quảng Nam,18/11/2022,22:16,25°,Nhiều mây,23°/28°,87%,10 km,0.79 km/giờ,23 °C,0,Khá
Quảng Ngãi,18/11/2022,22:16,24°,Nhiều mây,22°/28°,90%,10 km,1.88 km/giờ,23 °C,0,Khá
Bình Định,18/11/2022,22:16,25°,Nhiều mây,24°/27°,88%,10 km,5.14 km/giờ,23 °C,0,Tốt
Phú Yên,18/11/2022,22:16,22°,Nhiều mây,21°/25°,97%,10 km,1.04 km/giờ,21 °C,0,Tốt
Khánh Hòa,18/11/2022,22:16,27°,Nhiều mây,22°/27°,94%,10 km,2.06 km/giờ,26 °C,0,Khá
Ninh Thuận,18/11/2022,22:16,25°,Mưa nhẹ,22°/26°,86%,10 km,3.1 km/giờ,22 °C,0,Tốt
Bình Thuận,18/11/2022,22:17,22°,Nhiều mây,21°/25°,93%,10 km,1.41 km/giờ,21 °C,0,Tốt
Kon Tum,18/11/2022,22:17,20°,Nhiều mây,19°/30°,96%,10 km,1.6 km/giờ,19 °C,0,Tốt
Gia Lai,18/11/2022,22:17,21°,Nhiều mây,19°/26°,98%,10 km,1.31 km/giờ,20 °C,0,Tốt
"Đắk Lắk",18/11/2022,22:17,21°,Nhiều mây,19°/23°,93%,10 km,2.8 km/giờ,20 °C,0,Tốt
"Đắk Nông",18/11/2022,22:17,21°,Nhiều mây,19°/23°,93%,10 km,2.8 km/giờ,20 °C,0,Tốt
Lâm Đồng,18/11/2022,22:17,19°,Nhiều mây,18°/23°,94%,10 km,1.63 km/giờ,18 °C,0,Tốt
Bình Phước,18/11/2022,22:17,22°,Nhiều mây,20°/29°,97%,10 km,1.21 km/giờ,22 °C,0,Khá
Tây Ninh,18/11/2022,22:17,25°,Nhiều mây,22°/30°,92%,10 km,2.27 km/giờ,23 °C,0,Kém
Bình Dương,18/11/2022,22:17,27°,Mây cụm,22°/29°,94%,6 km,2.06 km/giờ,26 °C,0,Rất kém
"Đồng Nai",18/11/2022,22:17,27°,Nhiều mây,22°/29°,89%,10 km,1.34 km/giờ,25 °C,0,Rất kém
Bà Rịa - Vũng Tàu,18/11/2022,22:17,25°,Nhiều mây,22°/29°,90%,10 km,2.7 km/giờ,23 °C,0,Kém
Hồ Chí Minh,18/11/2022,22:17,27°,Mây cụm,22°/29°,94%,6 km,2.06 km/giờ,26 °C,0,Rất kém
Long An,18/11/2022,22:17,25°,Nhiều mây,22°/29°,90%,10 km,2.13 km/giờ,23 °C,0,Rất kém
Tiền Giang,18/11/2022,22:17,25°,Nhiều mây,22°/28°,87%,10 km,2.07 km/giờ,23 °C,0,Rất kém
Bến Tre,18/11/2022,22:17,26°,Nhiều mây,22°/28°,83%,10 km,2.09 km/giờ,23 °C,0,Rất kém
Trà Vinh,18/11/2022,22:17,26°,Nhiều mây,22°/29°,83%,10 km,2.32 km/giờ,23 °C,0,Khá
Vĩnh Long,18/11/2022,22:17,24°,Nhiều mây,22°/29°,88%,10 km,2.14 km/giờ,22 °C,0,Rất kém
"Đồng Tháp",18/11/2022,22:17,24°,Nhiều mây,22°/29°,86%,10 km,2.26 km/giờ,21 °C,0,Rất kém
An Giang,18/11/2022,22:17,24°,Nhiều mây,22°/29°,86%,10 km,2.24 km/giờ,21 °C,0,Rất kém
Kiên Giang,18/11/2022,22:17,25°,Nhiều mây,23°/27°,86%,10 km,3.22 km/giờ,23 °C,0,Kém
Cần Thơ,18/11/2022,22:17,24°,Mây cụm,22°/28°,100%,10 km,0.51 km/giờ,24 °C,0,Rất kém
Hậu Giang,18/11/2022,22:17,24°,Nhiều mây,22°/27°,92%,10 km,2.28 km/giờ,23 °C,0,Rất kém
Sóc Trăng,18/11/2022,22:17,25°,Nhiều mây,22°/26°,86%,10 km,2.83 km/giờ,23 °C,0,Rất kém
Bạc Liêu,18/11/2022,22:17,26°,Mây cụm,22°/26°,85%,10 km,4.7 km/giờ,23 °C,0,Kém
Cà Mau,18/11/2022,22:17,24°,Nhiều mây,22°/25°,93%,10 km,2.18 km/giờ,23 °C,0,Rất kém
