Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,18/11/2022,21:23,22°,Mây rải rác,20°/27°,97%,10 km,0.66 km/giờ,21 °C,0,Kém
Cao Bằng,18/11/2022,21:23,24°,Nhiều mây,20°/28°,87%,10 km,0.66 km/giờ,22 °C,0,Kém
Bắc Kạn,18/11/2022,21:23,24°,Nhiều mây,20°/29°,92%,10 km,0.8 km/giờ,22 °C,0,Rất kém
Tuyên Quang,18/11/2022,21:23,24°,Mây cụm,21°/28°,88%,10 km,0.35 km/giờ,22 °C,0,Rất kém
Thái Nguyên,18/11/2022,21:23,26°,Nhiều mây,21°/30°,85%,10 km,2.45 km/giờ,23 °C,0,Rất kém
Lạng Sơn,18/11/2022,21:23,24°,Nhiều mây,18°/29°,80%,10 km,1.38 km/giờ,20 °C,0,Kém
Quảng Ninh,18/11/2022,21:23,22°,Bầu trời quang đãng,20°/29°,94%,10 km,0.59 km/giờ,21 °C,0,Kém
Bắc Giang,18/11/2022,21:23,26°,Nhiều mây,21°/31°,79%,10 km,3.66 km/giờ,22 °C,0,Kém
Phú Thọ,18/11/2022,21:23,25°,Mây rải rác,22°/30°,82%,10 km,2.15 km/giờ,22 °C,0,Rất kém
Lào Cai,18/11/2022,21:23,23°,Mây thưa,22°/29°,95%,10 km,0.51 km/giờ,22 °C,0,Khá
"Điện Biên",18/11/2022,21:23,22°,Mây thưa,19°/30°,89%,10 km,1.15 km/giờ,20 °C,0,Khá
Lai Châu,18/11/2022,21:23,22°,Mây cụm,20°/29°,94%,10 km,0.67 km/giờ,21 °C,0,Tốt
Sơn La,18/11/2022,21:23,20°,Bầu trời quang đãng,18°/27°,94%,10 km,1.11 km/giờ,19 °C,0,Khá
Yên Bái,18/11/2022,21:23,25°,Mây rải rác,22°/28°,86%,10 km,0.39 km/giờ,22 °C,0,Rất kém
Hoà Bình,18/11/2022,21:23,25°,Mây rải rác,22°/29°,92%,10 km,1.75 km/giờ,23 °C,0,Kém
Hà Nội,18/11/2022,21:23,26°,Mây thưa,22°/31°,89%,9 km,4.63 km/giờ,24 °C,0,Rất kém
Vĩnh Phúc,18/11/2022,21:23,26°,Mây cụm,22°/30°,82%,10 km,3.63 km/giờ,23 °C,0,Rất kém
Bắc Ninh,18/11/2022,21:23,26°,Nhiều mây,22°/31°,80%,10 km,4.25 km/giờ,22 °C,0,Kém
Hải Dương,18/11/2022,21:23,26°,Mây cụm,22°/31°,83%,10 km,4.1 km/giờ,23 °C,0,Kém
Hải Phòng,18/11/2022,21:23,26°,Mây cụm,22°/31°,89%,10 km,2.57 km/giờ,24 °C,0,Kém
Hưng Yên,18/11/2022,21:23,26°,Mây cụm,22°/31°,83%,10 km,3.2 km/giờ,22 °C,0,Kém
Thái Bình,18/11/2022,21:23,26°,Bầu trời quang đãng,23°/29°,83%,10 km,3.6 km/giờ,23 °C,0,Kém
Hà Nam,18/11/2022,21:23,26°,Mây cụm,23°/31°,84%,10 km,2.9 km/giờ,23 °C,0,Kém
Nam Định,18/11/2022,21:23,26°,Mây thưa,23°/30°,84%,10 km,3.21 km/giờ,23 °C,0,Rất kém
Ninh Bình,18/11/2022,21:23,25°,Bầu trời quang đãng,23°/29°,86%,10 km,2.13 km/giờ,23 °C,0,Kém
Thanh Hóa,18/11/2022,21:23,25°,Bầu trời quang đãng,23°/28°,91%,10 km,1.54 km/giờ,23 °C,0,Kém
Nghệ An,18/11/2022,21:23,25°,Mây cụm,23°/28°,89%,10 km,2.29 km/giờ,23 °C,0,Khá
Hà Tĩnh,18/11/2022,21:23,24°,Mây cụm,23°/28°,91%,10 km,2.21 km/giờ,23 °C,0,Khá
Quảng Bình,18/11/2022,21:23,24°,Mây rải rác,22°/29°,96%,10 km,0.92 km/giờ,23 °C,0,Khá
Quảng Trị,18/11/2022,21:23,24°,Mây cụm,22°/29°,92%,10 km,1.77 km/giờ,23 °C,0,Khá
Thừa Thiên Huế,18/11/2022,21:23,26°,Mây rải rác,22°/29°,89%,10 km,3.6 km/giờ,24 °C,0,Khá
"Đà Nẵng",18/11/2022,21:23,27°,Mây thưa,24°/28°,78%,10 km,1.03 km/giờ,23 °C,0,Tốt
Quảng Nam,18/11/2022,21:23,25°,Nhiều mây,23°/28°,88%,10 km,1.32 km/giờ,23 °C,0,Khá
Quảng Ngãi,18/11/2022,21:23,24°,Nhiều mây,22°/28°,91%,10 km,1.75 km/giờ,23 °C,0,Khá
Bình Định,18/11/2022,21:23,25°,Nhiều mây,24°/27°,88%,10 km,5.32 km/giờ,23 °C,0,Tốt
Phú Yên,18/11/2022,21:23,22°,Nhiều mây,21°/25°,97%,10 km,1.33 km/giờ,21 °C,0,Tốt
Khánh Hòa,18/11/2022,21:23,27°,Nhiều mây,22°/27°,94%,10 km,1.84 km/giờ,26 °C,0,Khá
Ninh Thuận,18/11/2022,21:23,25°,Nhiều mây,22°/26°,86%,10 km,3.33 km/giờ,22 °C,0,Tốt
Bình Thuận,18/11/2022,21:23,23°,Nhiều mây,21°/25°,92%,10 km,1.24 km/giờ,21 °C,0,Tốt
Kon Tum,18/11/2022,21:23,20°,Nhiều mây,19°/30°,95%,10 km,1.68 km/giờ,19 °C,0,Tốt
Gia Lai,18/11/2022,21:23,21°,Nhiều mây,19°/26°,98%,10 km,1.43 km/giờ,20 °C,0,Tốt
"Đắk Lắk",18/11/2022,21:23,21°,Nhiều mây,19°/23°,92%,10 km,2.7 km/giờ,20 °C,0,Tốt
"Đắk Nông",18/11/2022,21:23,21°,Nhiều mây,19°/23°,92%,10 km,2.7 km/giờ,20 °C,0,Tốt
Lâm Đồng,18/11/2022,21:23,20°,Nhiều mây,18°/23°,95%,10 km,1.65 km/giờ,19 °C,0,Tốt
Bình Phước,18/11/2022,21:23,23°,Nhiều mây,20°/29°,96%,10 km,1.08 km/giờ,22 °C,0,Tốt
Tây Ninh,18/11/2022,21:23,25°,Nhiều mây,22°/30°,90%,10 km,2.65 km/giờ,23 °C,0,Trung bình
Bình Dương,18/11/2022,21:23,28°,Mây cụm,22°/29°,89%,8 km,2.57 km/giờ,26 °C,0,Rất kém
"Đồng Nai",18/11/2022,21:23,28°,Nhiều mây,22°/29°,89%,10 km,1.66 km/giờ,26 °C,0,Rất kém
Bà Rịa - Vũng Tàu,18/11/2022,21:23,25°,Nhiều mây,22°/29°,88%,10 km,2.93 km/giờ,23 °C,0,Kém
Hồ Chí Minh,18/11/2022,21:23,28°,Mây cụm,22°/29°,89%,8 km,2.57 km/giờ,26 °C,0,Rất kém
Long An,18/11/2022,21:23,25°,Nhiều mây,22°/29°,90%,10 km,2.34 km/giờ,23 °C,0,Rất kém
Tiền Giang,18/11/2022,21:23,25°,Nhiều mây,22°/28°,88%,10 km,1.95 km/giờ,23 °C,0,Rất kém
Bến Tre,18/11/2022,21:23,26°,Nhiều mây,22°/28°,85%,10 km,1.98 km/giờ,23 °C,0,Rất kém
Trà Vinh,18/11/2022,21:24,26°,Nhiều mây,22°/29°,85%,10 km,2.34 km/giờ,23 °C,0,Khá
Vĩnh Long,18/11/2022,21:24,23°,Nhiều mây,22°/29°,88%,10 km,2.17 km/giờ,21 °C,0,Rất kém
"Đồng Tháp",18/11/2022,21:24,23°,Nhiều mây,22°/29°,85%,10 km,2.62 km/giờ,20 °C,0,Rất kém
An Giang,18/11/2022,21:24,23°,Mưa nhẹ,22°/29°,85%,10 km,2.68 km/giờ,20 °C,0,Rất kém
Kiên Giang,18/11/2022,21:24,26°,Nhiều mây,23°/27°,84%,10 km,3.43 km/giờ,23 °C,0,Kém
Cần Thơ,18/11/2022,21:24,23°,Mây cụm,22°/28°,100%,10 km,0.51 km/giờ,23 °C,0,Rất kém
Hậu Giang,18/11/2022,21:24,23°,Nhiều mây,22°/27°,91%,10 km,2.32 km/giờ,21 °C,0,Rất kém
Sóc Trăng,18/11/2022,21:24,25°,Nhiều mây,22°/26°,87%,10 km,2.84 km/giờ,23 °C,0,Rất kém
Bạc Liêu,18/11/2022,21:24,26°,Nhiều mây,22°/26°,85%,10 km,4.96 km/giờ,23 °C,0,Kém
Cà Mau,18/11/2022,21:24,24°,Nhiều mây,22°/25°,92%,10 km,2.18 km/giờ,23 °C,0,Rất kém
