Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,18/11/2022,18:02,23°,Mây rải rác,20°/26°,98%,10 km,0.98 km/giờ,22 °C,0,Kém
Cao Bằng,18/11/2022,18:02,24°,Mây cụm,20°/28°,87%,10 km,0.56 km/giờ,22 °C,0,Kém
Bắc Kạn,18/11/2022,18:02,24°,Mây cụm,19°/28°,93%,10 km,0.36 km/giờ,22 °C,0,Rất kém
Tuyên Quang,18/11/2022,18:02,24°,Nhiều mây,20°/28°,93%,10 km,0.63 km/giờ,23 °C,0,Rất kém
Thái Nguyên,18/11/2022,18:02,28°,Nhiều mây,20°/30°,76%,10 km,1.78 km/giờ,24 °C,0,Rất kém
Lạng Sơn,18/11/2022,18:02,25°,Nhiều mây,18°/29°,73%,10 km,1.58 km/giờ,20 °C,0,Kém
Quảng Ninh,18/11/2022,18:02,23°,Mây rải rác,20°/30°,93%,10 km,1.26 km/giờ,22 °C,0,Kém
Bắc Giang,18/11/2022,18:02,28°,Nhiều mây,21°/31°,69%,10 km,4.77 km/giờ,23 °C,0,Rất kém
Phú Thọ,18/11/2022,18:02,27°,Nhiều mây,22°/30°,75%,10 km,1.56 km/giờ,22 °C,0,Rất kém
Lào Cai,18/11/2022,18:02,24°,Mây rải rác,22°/27°,89%,10 km,1.02 km/giờ,22 °C,0,Khá
"Điện Biên",18/11/2022,18:02,24°,Mây rải rác,19°/31°,81%,10 km,1.15 km/giờ,20 °C,0,Tốt
Lai Châu,18/11/2022,18:02,23°,Mây thưa,20°/30°,91%,10 km,0.65 km/giờ,22 °C,0,Tốt
Sơn La,18/11/2022,18:03,22°,Mây thưa,18°/28°,90%,10 km,0.84 km/giờ,20 °C,0,Khá
Yên Bái,18/11/2022,18:03,25°,Mây cụm,22°/28°,86%,10 km,0.37 km/giờ,23 °C,0,Rất kém
Hoà Bình,18/11/2022,18:03,26°,Mây cụm,22°/29°,85%,10 km,1.65 km/giờ,23 °C,0,Trung bình
