Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,01/11/2022,09:12,23°,Nhiều mây,14°/29°,51%,10 km,1.82 km/giờ,12 °C,2.9,Trung bình
Cao Bằng,01/11/2022,09:12,23°,Nhiều mây,15°/29°,50%,10 km,2.91 km/giờ,12 °C,3.04,Kém
Bắc Kạn,01/11/2022,09:12,23°,Nhiều mây,15°/29°,54%,10 km,1.53 km/giờ,14 °C,0,Trung bình
Tuyên Quang,01/11/2022,09:12,23°,Mây cụm,15°/29°,56%,10 km,1.2 km/giờ,14 °C,0,Kém
Thái Nguyên,01/11/2022,09:12,25°,Nhiều mây,17°/30°,52%,10 km,2.4 km/giờ,14 °C,0,Kém
Lạng Sơn,01/11/2022,09:12,22°,Nhiều mây,15°/27°,51%,10 km,5.66 km/giờ,11 °C,0,Khá
Quảng Ninh,01/11/2022,09:12,23°,Nhiều mây,16°/29°,46%,10 km,2.71 km/giờ,11 °C,0,Khá
Bắc Giang,01/11/2022,09:12,25°,Nhiều mây,17°/30°,42%,10 km,6.93 km/giờ,11 °C,2.78,Khá
Phú Thọ,01/11/2022,09:12,24°,Mây cụm,17°/30°,58%,10 km,3.08 km/giờ,15 °C,2.97,Rất kém
Lào Cai,01/11/2022,09:12,24°,Bầu trời quang đãng,17°/31°,46%,10 km,1.24 km/giờ,12 °C,0,Kém
"Điện Biên",01/11/2022,09:12,23°,Mây thưa,14°/30°,64%,10 km,0.9 km/giờ,16 °C,2.88,Kém
Lai Châu,01/11/2022,09:12,23°,Bầu trời quang đãng,15°/29°,50%,10 km,1.05 km/giờ,12 °C,2.79,Kém
Sơn La,01/11/2022,09:12,20°,Mây cụm,13°/27°,75%,10 km,0.24 km/giờ,16 °C,0,Kém
Yên Bái,01/11/2022,09:12,23°,Nhiều mây,18°/28°,58%,10 km,2.6 km/giờ,14 °C,0,Kém
Hoà Bình,01/11/2022,09:12,25°,Mây rải rác,17°/29°,59%,10 km,2.44 km/giờ,16 °C,0,Kém
Hà Nội,01/11/2022,09:12,25°,Bầu trời quang đãng,18°/30°,47%,10 km,2.06 km/giờ,13 °C,2.97,Kém
Vĩnh Phúc,01/11/2022,09:12,25°,Nhiều mây,18°/30°,58%,10 km,2.09 km/giờ,16 °C,2.97,Kém
Bắc Ninh,01/11/2022,09:12,25°,Nhiều mây,18°/30°,45%,10 km,6.76 km/giờ,12 °C,0,Khá
Hải Dương,01/11/2022,09:13,25°,Nhiều mây,18°/30°,44%,10 km,7.27 km/giờ,12 °C,2.74,Khá
Hải Phòng,01/11/2022,09:13,25°,Bầu trời quang đãng,18°/30°,41%,10 km,6.17 km/giờ,11 °C,3.03,Khá
Hưng Yên,01/11/2022,09:13,25°,Nhiều mây,18°/30°,47%,10 km,6.54 km/giờ,13 °C,0,Trung bình
Thái Bình,01/11/2022,09:13,24°,Nhiều mây,19°/29°,45%,10 km,8.59 km/giờ,12 °C,2.66,Khá
