Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,18/10/2022,15:53,26°,Mây cụm,14°/29°,36%,10 km,1.74 km/giờ,10 °C,1.33,Kém
Cao Bằng,18/10/2022,15:53,26°,Mây cụm,15°/28°,35%,10 km,3.67 km/giờ,9 °C,0,Kém
Bắc Kạn,18/10/2022,15:53,27°,Mây cụm,15°/29°,35%,10 km,2 km/giờ,9 °C,3.13,Rất kém
Tuyên Quang,18/10/2022,15:53,28°,Nhiều mây,14°/30°,35%,10 km,1.7 km/giờ,8 °C,0,Kém
Thái Nguyên,18/10/2022,15:53,30°,Mây rải rác,17°/30°,32%,10 km,3.77 km/giờ,9 °C,0,Rất kém
Lạng Sơn,18/10/2022,15:53,26°,Mây rải rác,13°/26°,37%,10 km,4.98 km/giờ,10 °C,0,Rất kém
Quảng Ninh,18/10/2022,15:53,28°,Mây rải rác,15°/28°,38%,10 km,3.25 km/giờ,12 °C,0,Rất kém
Bắc Giang,18/10/2022,15:53,30°,Mây cụm,16°/30°,36%,10 km,6.55 km/giờ,13 °C,1.05,Rất kém
Phú Thọ,18/10/2022,15:53,29°,Mây rải rác,16°/30°,35%,10 km,3.39 km/giờ,11 °C,3.28,Rất kém
Lào Cai,18/10/2022,15:53,28°,Mây cụm,17°/29°,32%,10 km,1.18 km/giờ,10 °C,0,Kém
"Điện Biên",18/10/2022,15:53,27°,Nhiều mây,13°/28°,42%,10 km,1.41 km/giờ,13 °C,1.49,Kém
Lai Châu,18/10/2022,15:53,27°,Nhiều mây,15°/29°,41%,10 km,1.38 km/giờ,12 °C,1.58,Kém
Sơn La,18/10/2022,15:53,25°,Nhiều mây,12°/26°,56%,10 km,0.78 km/giờ,16 °C,0,Rất kém
Yên Bái,18/10/2022,15:53,29°,Mây cụm,18°/29°,38%,10 km,1.91 km/giờ,13 °C,0,Rất kém
Hoà Bình,18/10/2022,15:53,28°,Mây rải rác,16°/28°,43%,10 km,2.36 km/giờ,14 °C,1.33,Rất kém
