Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,03/10/2022,20:42,23°,Mây cụm,21°/32°,98%,10 km,0.39 km/giờ,22 °C,0,Khá
Cao Bằng,03/10/2022,20:42,23°,Bầu trời quang đãng,21°/32°,94%,10 km,0.5 km/giờ,22 °C,0,Khá
Bắc Kạn,03/10/2022,20:42,23°,Bầu trời quang đãng,21°/33°,97%,10 km,0.07 km/giờ,22 °C,0,Khá
Tuyên Quang,03/10/2022,20:42,23°,Bầu trời quang đãng,22°/33°,98%,10 km,0.44 km/giờ,23 °C,0,Kém
Thái Nguyên,03/10/2022,20:42,28°,Bầu trời quang đãng,23°/33°,92%,10 km,0.23 km/giờ,26 °C,0,Rất kém
Lạng Sơn,03/10/2022,20:42,24°,Bầu trời quang đãng,22°/32°,93%,10 km,0.37 km/giờ,22 °C,0,Kém
Quảng Ninh,03/10/2022,20:42,25°,Bầu trời quang đãng,23°/31°,91%,10 km,0.98 km/giờ,23 °C,0,Kém
Bắc Giang,03/10/2022,20:42,28°,Mây thưa,23°/32°,92%,10 km,0.62 km/giờ,27 °C,0,Rất kém
Phú Thọ,03/10/2022,20:42,24°,Bầu trời quang đãng,22°/32°,91%,10 km,0.68 km/giờ,23 °C,0,Rất kém
Lào Cai,03/10/2022,20:42,24°,Nhiều mây,22°/32°,97%,10 km,0.37 km/giờ,23 °C,0,Tốt
"Điện Biên",03/10/2022,20:42,22°,Bầu trời quang đãng,20°/33°,99%,10 km,1.31 km/giờ,22 °C,0,Tốt
Lai Châu,03/10/2022,20:42,23°,Mây cụm,21°/32°,98%,10 km,0.95 km/giờ,23 °C,0,Khá
Sơn La,03/10/2022,20:42,21°,Mây thưa,19°/30°,98%,10 km,1.27 km/giờ,20 °C,0,Tốt
Yên Bái,03/10/2022,20:42,24°,Bầu trời quang đãng,23°/30°,93%,10 km,0.99 km/giờ,23 °C,0,Rất kém
Hoà Bình,03/10/2022,20:42,24°,Mây thưa,23°/31°,94%,10 km,0.98 km/giờ,23 °C,0,Rất kém
Hà Nội,03/10/2022,20:42,28°,Mây rải rác,24°/32°,78%,9 km,0.51 km/giờ,24 °C,0,Rất kém
Vĩnh Phúc,03/10/2022,20:42,28°,Bầu trời quang đãng,23°/32°,90%,10 km,1.51 km/giờ,26 °C,0,Rất kém
Bắc Ninh,03/10/2022,20:42,28°,Bầu trời quang đãng,23°/32°,92%,10 km,1.96 km/giờ,27 °C,0,Rất kém
Hải Dương,03/10/2022,20:42,28°,Bầu trời quang đãng,23°/32°,91%,10 km,2.15 km/giờ,27 °C,0,Rất kém
Hải Phòng,03/10/2022,20:42,28°,Bầu trời quang đãng,24°/31°,83%,10 km,1.54 km/giờ,25 °C,0,Kém
