Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,01/10/2022,09:18,24°,Nhiều mây,22°/28°,98%,10 km,0.16 km/giờ,23 °C,3.39,Khá
Cao Bằng,01/10/2022,09:18,25°,Nhiều mây,22°/27°,96%,8.73 km,0.69 km/giờ,24 °C,0,Tốt
Bắc Kạn,01/10/2022,09:18,25°,Nhiều mây,22°/28°,94%,10 km,0.35 km/giờ,24 °C,0,Tốt
Tuyên Quang,01/10/2022,09:18,24°,Nhiều mây,22°/27°,97%,10 km,0.22 km/giờ,24 °C,1.19,Khá
Thái Nguyên,01/10/2022,09:18,26°,Nhiều mây,23°/29°,91%,10 km,0.95 km/giờ,24 °C,2.48,Khá
Lạng Sơn,01/10/2022,09:18,24°,Mưa vừa,22°/27°,94%,10 km,0.84 km/giờ,23 °C,0,Tốt
Quảng Ninh,01/10/2022,09:18,24°,Mưa nhẹ,23°/27°,97%,10 km,1.33 km/giờ,24 °C,0,Tốt
Bắc Giang,01/10/2022,09:18,26°,Nhiều mây,23°/28°,94%,10 km,1.08 km/giờ,25 °C,0.42,Khá
Phú Thọ,01/10/2022,09:18,25°,Nhiều mây,22°/28°,90%,10 km,0.72 km/giờ,24 °C,0.91,Trung bình
Lào Cai,01/10/2022,09:18,25°,Nhiều mây,23°/29°,93%,9.57 km,0.67 km/giờ,24 °C,0,Khá
"Điện Biên",01/10/2022,09:18,25°,Nhiều mây,21°/28°,87%,10 km,1.01 km/giờ,22 °C,1.33,Tốt
Lai Châu,01/10/2022,09:18,25°,Nhiều mây,23°/31°,88%,10 km,0.15 km/giờ,23 °C,0,Tốt
Sơn La,01/10/2022,09:18,23°,Nhiều mây,20°/26°,92%,10 km,0.55 km/giờ,22 °C,0,Tốt
Yên Bái,01/10/2022,09:18,25°,Nhiều mây,23°/27°,94%,10 km,0.43 km/giờ,24 °C,2.08,Khá
Hoà Bình,01/10/2022,09:18,24°,Nhiều mây,23°/26°,99%,3.68 km,0.54 km/giờ,24 °C,0.63,Rất kém
