Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,16/09/2022,20:02,23°,Nhiều mây,22°/34°,99%,10 km,0.25 km/giờ,23 °C,0,Khá
Cao Bằng,16/09/2022,20:02,24°,Mây cụm,22°/33°,96%,10 km,0.39 km/giờ,23 °C,0,Kém
Bắc Kạn,16/09/2022,20:02,24°,Nhiều mây,23°/34°,99%,10 km,0.06 km/giờ,24 °C,0,Trung bình
Tuyên Quang,16/09/2022,20:02,25°,Nhiều mây,23°/35°,98%,10 km,0.46 km/giờ,24 °C,0,Kém
Thái Nguyên,16/09/2022,20:02,26°,Nhiều mây,24°/34°,95%,10 km,0.97 km/giờ,25 °C,0,Rất kém
Lạng Sơn,16/09/2022,20:02,25°,Nhiều mây,23°/33°,92%,10 km,1.15 km/giờ,23 °C,0,Trung bình
Quảng Ninh,16/09/2022,20:02,27°,Nhiều mây,24°/34°,88%,10 km,1.03 km/giờ,25 °C,0,Khá
Bắc Giang,16/09/2022,20:02,26°,Nhiều mây,24°/34°,89%,10 km,1.39 km/giờ,24 °C,0,Rất kém
Phú Thọ,16/09/2022,20:02,25°,Nhiều mây,23°/33°,96%,10 km,1.68 km/giờ,25 °C,0,Rất kém
Lào Cai,16/09/2022,20:02,24°,Nhiều mây,23°/33°,99%,10 km,0.16 km/giờ,24 °C,0,Tốt
"Điện Biên",16/09/2022,20:02,23°,Nhiều mây,20°/34°,99%,10 km,1.01 km/giờ,23 °C,0,Tốt
Lai Châu,16/09/2022,20:02,24°,Mưa nhẹ,22°/32°,98%,10 km,0.47 km/giờ,24 °C,0,Tốt
Sơn La,16/09/2022,20:02,22°,Nhiều mây,20°/30°,97%,10 km,0.72 km/giờ,21 °C,0,Tốt
Yên Bái,16/09/2022,20:02,26°,Nhiều mây,24°/32°,94%,10 km,1.11 km/giờ,25 °C,0,Kém
Hoà Bình,16/09/2022,20:02,26°,Nhiều mây,23°/32°,95%,10 km,0.21 km/giờ,25 °C,0,Rất kém
Hà Nội,16/09/2022,20:02,26°,Mây rải rác,24°/33°,89%,10 km,3.09 km/giờ,24 °C,0,Rất kém
Vĩnh Phúc,16/09/2022,20:02,26°,Mưa vừa,24°/33°,92%,10 km,0.7 km/giờ,25 °C,0,Rất kém
Bắc Ninh,16/09/2022,20:02,26°,Nhiều mây,24°/33°,89%,10 km,1.58 km/giờ,24 °C,0,Rất kém
Hải Dương,16/09/2022,20:02,27°,Nhiều mây,24°/33°,89%,10 km,2.75 km/giờ,25 °C,0,Rất kém
Hải Phòng,16/09/2022,20:02,27°,Mây thưa,25°/32°,89%,10 km,1.54 km/giờ,25 °C,0,Kém
Hưng Yên,16/09/2022,20:02,27°,Nhiều mây,24°/33°,88%,10 km,1.68 km/giờ,25 °C,0,Rất kém
Thái Bình,16/09/2022,20:02,28°,Nhiều mây,25°/32°,80%,10 km,3.02 km/giờ,24 °C,0,Rất kém
Hà Nam,16/09/2022,20:02,27°,Mưa nhẹ,24°/33°,89%,10 km,0.94 km/giờ,25 °C,0,Rất kém
Nam Định,16/09/2022,20:02,28°,Mưa nhẹ,24°/32°,83%,10 km,2.37 km/giờ,25 °C,0,Rất kém
Ninh Bình,16/09/2022,20:02,28°,Mưa vừa,24°/33°,83%,10 km,1.36 km/giờ,25 °C,0,Rất kém
Thanh Hóa,16/09/2022,20:02,26°,Nhiều mây,24°/32°,89%,10 km,0.99 km/giờ,25 °C,0,Rất kém
Nghệ An,16/09/2022,20:02,28°,Nhiều mây,24°/30°,83%,10 km,2 km/giờ,25 °C,0,Kém
Hà Tĩnh,16/09/2022,20:02,28°,Nhiều mây,24°/31°,82%,10 km,1.58 km/giờ,25 °C,0,Trung bình
Quảng Bình,16/09/2022,20:02,27°,Mây cụm,24°/33°,85%,10 km,1.71 km/giờ,24 °C,0,Tốt
Quảng Trị,16/09/2022,20:02,27°,Mây rải rác,24°/35°,84%,10 km,3.03 km/giờ,24 °C,0,Tốt
Thừa Thiên Huế,16/09/2022,20:02,26°,Mây cụm,24°/33°,83%,10 km,5.66 km/giờ,23 °C,0,Trung bình
"Đà Nẵng",16/09/2022,20:02,28°,Mây rải rác,25°/31°,78%,10 km,2.57 km/giờ,24 °C,0,Kém
Quảng Nam,16/09/2022,20:02,26°,Mây thưa,24°/32°,87%,10 km,1.42 km/giờ,23 °C,0,Kém
Quảng Ngãi,16/09/2022,20:02,27°,Mây rải rác,24°/33°,80%,10 km,0.92 km/giờ,23 °C,0,Kém
Bình Định,16/09/2022,20:02,28°,Mây cụm,24°/33°,80%,10 km,0.22 km/giờ,24 °C,0,Tốt
Phú Yên,16/09/2022,20:02,24°,Mây rải rác,22°/33°,86%,10 km,1.46 km/giờ,22 °C,0,Tốt
Khánh Hòa,16/09/2022,20:02,26°,Nhiều mây,24°/33°,87%,10 km,2.01 km/giờ,24 °C,0,Khá
Ninh Thuận,16/09/2022,20:02,27°,Mưa nhẹ,25°/33°,82%,10 km,2.36 km/giờ,24 °C,0,Tốt
Bình Thuận,16/09/2022,20:02,24°,Mưa cường độ nặng,23°/34°,89%,10 km,1.83 km/giờ,22 °C,0,Tốt
Kon Tum,16/09/2022,20:02,22°,Nhiều mây,20°/30°,97%,10 km,0.27 km/giờ,21 °C,0,Tốt
Gia Lai,16/09/2022,20:02,22°,Nhiều mây,21°/31°,94%,3.67 km,1.04 km/giờ,21 °C,0,Tốt
"Đắk Lắk",16/09/2022,20:02,21°,Nhiều mây,20°/28°,97%,10 km,0.78 km/giờ,21 °C,0,Tốt
"Đắk Nông",16/09/2022,20:02,21°,Nhiều mây,20°/28°,97%,10 km,0.78 km/giờ,21 °C,0,Tốt
Lâm Đồng,16/09/2022,20:02,20°,Mưa rất nặng,20°/31°,97%,10 km,1.57 km/giờ,20 °C,0,Tốt
Bình Phước,16/09/2022,20:02,23°,Mưa vừa,22°/29°,98%,8.88 km,1.4 km/giờ,23 °C,0,Tốt
Tây Ninh,16/09/2022,20:02,27°,Mưa vừa,24°/33°,79%,10 km,4.42 km/giờ,23 °C,0,Khá
Bình Dương,16/09/2022,20:02,27°,Mưa vừa,24°/32°,89%,10 km,3.09 km/giờ,25 °C,0,Kém
"Đồng Nai",16/09/2022,20:02,27°,Mưa vừa,24°/32°,86%,10 km,2.45 km/giờ,24 °C,0,Rất kém
Bà Rịa - Vũng Tàu,16/09/2022,20:02,26°,Mưa vừa,24°/31°,89%,10 km,1.65 km/giờ,24 °C,0,Khá
Hồ Chí Minh,16/09/2022,20:02,27°,Mưa cường độ nặng,24°/32°,83%,10 km,3.6 km/giờ,24 °C,0,Rất kém
Long An,16/09/2022,20:03,26°,Mưa vừa,24°/32°,87%,10 km,4.33 km/giờ,24 °C,0,Khá
Tiền Giang,16/09/2022,20:03,26°,Mưa nhẹ,24°/32°,86%,10 km,3.05 km/giờ,23 °C,0,Khá
Bến Tre,16/09/2022,20:03,26°,Nhiều mây,24°/32°,86%,10 km,2.46 km/giờ,23 °C,0,Khá
Trà Vinh,16/09/2022,20:03,26°,Nhiều mây,24°/32°,85%,10 km,2.8 km/giờ,23 °C,0,Khá
Vĩnh Long,16/09/2022,20:03,26°,Mưa nhẹ,25°/32°,82%,10 km,3.97 km/giờ,23 °C,0,Tốt
"Đồng Tháp",16/09/2022,20:03,26°,Mưa vừa,25°/33°,80%,10 km,5.17 km/giờ,22 °C,0,Tốt
An Giang,16/09/2022,20:03,26°,Mưa nhẹ,25°/33°,80%,10 km,4.88 km/giờ,22 °C,0,Tốt
Kiên Giang,16/09/2022,20:03,27°,Nhiều mây,26°/30°,79%,10 km,5.56 km/giờ,24 °C,0,Tốt
Cần Thơ,16/09/2022,20:03,26°,Mây rải rác,25°/33°,94%,10 km,2.06 km/giờ,25 °C,0,Tốt
Hậu Giang,16/09/2022,20:03,26°,Mây cụm,25°/32°,85%,10 km,3.44 km/giờ,23 °C,0,Tốt
Sóc Trăng,16/09/2022,20:03,26°,Mưa cường độ nặng,24°/32°,86%,10 km,2.96 km/giờ,24 °C,0,Khá
Bạc Liêu,16/09/2022,20:03,27°,Mưa rất nặng,25°/31°,83%,10 km,4.67 km/giờ,24 °C,0,Tốt
Cà Mau,16/09/2022,20:03,26°,Nhiều mây,25°/32°,87%,10 km,1.96 km/giờ,24 °C,0,Tốt
