Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,04/10/2022,17:12,28°,Bầu trời quang đãng,21°/32°,71%,10 km,0.83 km/giờ,22 °C,0,Tốt
Cao Bằng,04/10/2022,17:12,26°,Mây rải rác,22°/32°,90%,9.89 km,1.76 km/giờ,24 °C,0,Trung bình
Bắc Kạn,04/10/2022,17:12,25°,Nhiều mây,22°/32°,93%,10 km,1.01 km/giờ,24 °C,0,Khá
Tuyên Quang,04/10/2022,17:12,28°,Mây cụm,22°/32°,78%,10 km,1.04 km/giờ,23 °C,0.37,Trung bình
Thái Nguyên,04/10/2022,17:12,29°,Nhiều mây,23°/32°,82%,10 km,2.14 km/giờ,26 °C,0.33,Kém
Lạng Sơn,04/10/2022,17:12,25°,Mưa nhẹ,22°/32°,86%,10 km,1.16 km/giờ,23 °C,0.23,Kém
Quảng Ninh,04/10/2022,17:12,28°,Mây cụm,23°/31°,78%,10 km,2.35 km/giờ,23 °C,0,Khá
Bắc Giang,04/10/2022,17:12,29°,Nhiều mây,24°/32°,74%,10 km,2.83 km/giờ,24 °C,0.32,Rất kém
Phú Thọ,04/10/2022,17:12,30°,Mây cụm,23°/31°,69%,10 km,1.4 km/giờ,24 °C,0.38,Rất kém
Lào Cai,04/10/2022,17:12,28°,Mây cụm,22°/31°,76%,10 km,0.64 km/giờ,24 °C,0,Tốt
"Điện Biên",04/10/2022,17:12,28°,Mây cụm,20°/34°,66%,10 km,1.22 km/giờ,21 °C,0,Tốt
Lai Châu,04/10/2022,17:12,27°,Mây cụm,21°/32°,88%,10 km,1.3 km/giờ,25 °C,0.44,Tốt
Sơn La,04/10/2022,17:12,25°,Mây cụm,19°/29°,83%,10 km,0.97 km/giờ,22 °C,0,Khá
Yên Bái,04/10/2022,17:12,29°,Mây rải rác,23°/30°,68%,10 km,0.49 km/giờ,23 °C,0,Kém
Hoà Bình,04/10/2022,17:12,28°,Mây rải rác,23°/30°,85%,10 km,1.18 km/giờ,25 °C,0,Rất kém
Hà Nội,04/10/2022,17:12,29°,Bão,24°/32°,74%,10 km,4.63 km/giờ,24 °C,0,Rất kém
Vĩnh Phúc,04/10/2022,17:12,29°,Mây cụm,24°/31°,73%,10 km,2.1 km/giờ,24 °C,0,Rất kém
Bắc Ninh,04/10/2022,17:12,29°,Mây cụm,24°/32°,72%,10 km,3 km/giờ,23 °C,0,Rất kém
Hải Dương,04/10/2022,17:12,31°,Mây rải rác,24°/32°,79%,10 km,3.27 km/giờ,27 °C,0,Rất kém
Hải Phòng,04/10/2022,17:12,31°,Mây thưa,24°/31°,66%,10 km,4.12 km/giờ,24 °C,0.3,Kém
Hưng Yên,04/10/2022,17:12,28°,Mây rải rác,24°/31°,80%,10 km,2.95 km/giờ,24 °C,0,Rất kém
Thái Bình,04/10/2022,17:12,28°,Mây rải rác,24°/31°,79%,10 km,4.73 km/giờ,24 °C,0.27,Rất kém
Hà Nam,04/10/2022,17:12,28°,Mây rải rác,24°/31°,80%,10 km,2.48 km/giờ,24 °C,0,Rất kém
Nam Định,04/10/2022,17:12,28°,Mây rải rác,24°/31°,80%,10 km,4.05 km/giờ,24 °C,0,Rất kém
Ninh Bình,04/10/2022,17:12,28°,Mây cụm,24°/31°,81%,10 km,3.46 km/giờ,24 °C,0.36,Rất kém
Thanh Hóa,04/10/2022,17:12,27°,Mây rải rác,24°/31°,85%,10 km,2.95 km/giờ,25 °C,0.36,Rất kém
Nghệ An,04/10/2022,17:12,28°,Mây cụm,24°/29°,82%,10 km,3.15 km/giờ,24 °C,0.38,Khá
Hà Tĩnh,04/10/2022,17:12,28°,Mây cụm,24°/29°,83%,10 km,2.82 km/giờ,24 °C,0.38,Tốt
Quảng Bình,04/10/2022,17:12,27°,Mây rải rác,24°/30°,89%,10 km,1.56 km/giờ,25 °C,0.36,Khá
Quảng Trị,04/10/2022,17:12,27°,Mưa nhẹ,23°/30°,87%,10 km,2.15 km/giờ,24 °C,0,Tốt
Thừa Thiên Huế,04/10/2022,17:12,27°,Mưa nhẹ,23°/30°,83%,10 km,2.06 km/giờ,24 °C,0.24,Tốt
"Đà Nẵng",04/10/2022,17:12,28°,Mây rải rác,25°/29°,74%,10 km,2.06 km/giờ,23 °C,0.27,Tốt
Quảng Nam,04/10/2022,17:12,27°,Nhiều mây,24°/30°,88%,10 km,1.69 km/giờ,25 °C,0,Tốt
Quảng Ngãi,04/10/2022,17:12,26°,Nhiều mây,24°/31°,87%,10 km,1.23 km/giờ,24 °C,0.27,Tốt
Bình Định,04/10/2022,17:12,26°,Mưa nhẹ,25°/29°,85%,10 km,3.46 km/giờ,24 °C,0.24,Tốt
Phú Yên,04/10/2022,17:12,24°,Mưa cường độ nặng,22°/29°,95%,10 km,1.37 km/giờ,23 °C,0.24,Tốt
Khánh Hòa,04/10/2022,17:12,26°,Mưa nhẹ,23°/30°,92%,10 km,1.81 km/giờ,25 °C,0,Tốt
Ninh Thuận,04/10/2022,17:12,27°,Mưa vừa,24°/31°,83%,10 km,4.63 km/giờ,24 °C,0,Tốt
Bình Thuận,04/10/2022,17:12,26°,Nhiều mây,22°/31°,89%,10 km,1.7 km/giờ,24 °C,0,Tốt
Kon Tum,04/10/2022,17:12,23°,Nhiều mây,19°/32°,91%,10 km,1.34 km/giờ,22 °C,0.24,Tốt
Gia Lai,04/10/2022,17:12,23°,Nhiều mây,20°/29°,93%,10 km,1.94 km/giờ,22 °C,0.28,Khá
"Đắk Lắk",04/10/2022,17:12,23°,Nhiều mây,20°/29°,86%,10 km,3.51 km/giờ,20 °C,0.28,Tốt
"Đắk Nông",04/10/2022,17:12,23°,Nhiều mây,20°/29°,86%,10 km,3.51 km/giờ,20 °C,0.28,Tốt
Lâm Đồng,04/10/2022,17:12,22°,Nhiều mây,19°/28°,95%,10 km,1.09 km/giờ,21 °C,0.27,Tốt
Bình Phước,04/10/2022,17:12,25°,Mây cụm,22°/31°,92%,10 km,0.6 km/giờ,24 °C,0,Tốt
Tây Ninh,04/10/2022,17:12,28°,Nhiều mây,24°/31°,79%,10 km,1.74 km/giờ,24 °C,0,Tốt
Bình Dương,04/10/2022,17:12,31°,Mây rải rác,24°/32°,66%,10 km,5.66 km/giờ,24 °C,0.3,Rất kém
"Đồng Nai",04/10/2022,17:12,31°,Nhiều mây,24°/31°,85%,10 km,2.65 km/giờ,28 °C,0.3,Kém
Bà Rịa - Vũng Tàu,04/10/2022,17:12,27°,Nhiều mây,24°/30°,87%,10 km,3.73 km/giờ,24 °C,0,Tốt
Hồ Chí Minh,04/10/2022,17:12,31°,Mây rải rác,24°/32°,66%,10 km,5.66 km/giờ,24 °C,0,Rất kém
Long An,04/10/2022,17:12,28°,Nhiều mây,24°/31°,84%,10 km,3.04 km/giờ,25 °C,0,Rất kém
Tiền Giang,04/10/2022,17:12,27°,Nhiều mây,24°/31°,84%,10 km,2.85 km/giờ,24 °C,0.22,Khá
Bến Tre,04/10/2022,17:13,27°,Nhiều mây,24°/30°,83%,10 km,2.77 km/giờ,24 °C,0,Khá
Trà Vinh,04/10/2022,17:13,28°,Mưa vừa,24°/30°,80%,10 km,3.58 km/giờ,24 °C,0.35,Tốt
Vĩnh Long,04/10/2022,17:13,29°,Nhiều mây,24°/31°,76%,10 km,3.93 km/giờ,24 °C,0.39,Trung bình
"Đồng Tháp",04/10/2022,17:13,29°,Nhiều mây,25°/32°,75%,10 km,3.73 km/giờ,24 °C,0.39,Kém
An Giang,04/10/2022,17:13,29°,Mưa vừa,25°/32°,74%,10 km,3.46 km/giờ,24 °C,0,Trung bình
Kiên Giang,04/10/2022,17:13,29°,Mây cụm,25°/29°,77%,10 km,4.63 km/giờ,24 °C,0.25,Tốt
Cần Thơ,04/10/2022,17:13,29°,Mây rải rác,24°/30°,79%,7 km,3.09 km/giờ,25 °C,0,Khá
Hậu Giang,04/10/2022,17:13,29°,Mưa nhẹ,24°/29°,80%,10 km,4.31 km/giờ,25 °C,0,Khá
Sóc Trăng,04/10/2022,17:13,27°,Mưa vừa,25°/29°,81%,10 km,4.6 km/giờ,24 °C,0,Khá
Bạc Liêu,04/10/2022,17:13,28°,Mưa vừa,26°/28°,80%,10 km,5.4 km/giờ,24 °C,0.25,Tốt
Cà Mau,04/10/2022,17:13,28°,Mưa cường độ nặng,24°/29°,79%,10 km,3.78 km/giờ,24 °C,0,Tốt
