Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,24/09/2022,16:27,27°,Mây thưa,21°/32°,88%,10 km,0.98 km/giờ,25 °C,0,Kém
Cao Bằng,24/09/2022,16:27,28°,Mây cụm,22°/32°,69%,10 km,2 km/giờ,22 °C,0,Kém
Bắc Kạn,24/09/2022,16:27,29°,Nhiều mây,22°/33°,67%,10 km,1.88 km/giờ,22 °C,0,Kém
Tuyên Quang,24/09/2022,16:27,27°,Mây cụm,22°/33°,93%,10 km,0.18 km/giờ,26 °C,1.81,Kém
Thái Nguyên,24/09/2022,16:27,29°,Nhiều mây,23°/33°,68%,10 km,2.72 km/giờ,22 °C,0,Kém
Lạng Sơn,24/09/2022,16:27,27°,Mây cụm,22°/30°,77%,10 km,2.67 km/giờ,23 °C,0,Rất kém
Quảng Ninh,24/09/2022,16:27,29°,Mây thưa,23°/32°,68%,10 km,3.75 km/giờ,22 °C,1.15,Rất kém
Bắc Giang,24/09/2022,16:27,29°,Nhiều mây,23°/33°,66%,10 km,3.82 km/giờ,22 °C,1.38,Kém
Phú Thọ,24/09/2022,16:27,30°,Mây cụm,22°/33°,69%,10 km,1.52 km/giờ,23 °C,0,Kém
Lào Cai,24/09/2022,16:27,30°,Mây rải rác,22°/32°,65%,10 km,1.93 km/giờ,23 °C,1.5,Trung bình
"Điện Biên",24/09/2022,16:27,27°,Mây cụm,19°/33°,83%,10 km,0.97 km/giờ,24 °C,1.21,Tốt
Lai Châu,24/09/2022,16:27,28°,Mây cụm,21°/31°,85%,10 km,1.27 km/giờ,25 °C,1.15,Khá
Sơn La,24/09/2022,16:27,26°,Mây cụm,18°/29°,81%,10 km,1.52 km/giờ,22 °C,0,Tốt
Yên Bái,24/09/2022,16:27,28°,Mây rải rác,23°/31°,79%,10 km,1.22 km/giờ,24 °C,1.92,Trung bình
Hoà Bình,24/09/2022,16:27,28°,Nhiều mây,23°/32°,82%,10 km,1.51 km/giờ,25 °C,1.65,Kém
Hà Nội,24/09/2022,16:27,29°,Mây cụm,23°/33°,70%,10 km,3.6 km/giờ,23 °C,1.73,Rất kém
Vĩnh Phúc,24/09/2022,16:27,29°,Mây cụm,23°/33°,68%,10 km,1.98 km/giờ,22 °C,0,Kém
Bắc Ninh,24/09/2022,16:27,29°,Nhiều mây,23°/33°,69%,9.8 km,3.52 km/giờ,23 °C,1.38,Rất kém
Hải Dương,24/09/2022,16:27,29°,Nhiều mây,23°/32°,76%,10 km,4.46 km/giờ,24 °C,0,Rất kém
Hải Phòng,24/09/2022,16:27,29°,Mây thưa,24°/31°,74%,10 km,3.6 km/giờ,24 °C,0,Rất kém
Hưng Yên,24/09/2022,16:27,28°,Nhiều mây,22°/32°,80%,9.29 km,4 km/giờ,24 °C,0,Rất kém
Thái Bình,24/09/2022,16:27,28°,Mây cụm,24°/31°,76%,10 km,6.68 km/giờ,24 °C,1.46,Rất kém
Hà Nam,24/09/2022,16:27,28°,Nhiều mây,22°/32°,79%,9.54 km,3.73 km/giờ,24 °C,0,Rất kém
Nam Định,24/09/2022,16:27,28°,Nhiều mây,23°/31°,78%,10 km,5.66 km/giờ,24 °C,1.46,Rất kém
Ninh Bình,24/09/2022,16:27,28°,Nhiều mây,22°/32°,80%,9.38 km,5.13 km/giờ,24 °C,1.38,Rất kém
Thanh Hóa,24/09/2022,16:27,25°,Mưa nhẹ,23°/32°,89%,7.18 km,5.59 km/giờ,24 °C,0,Rất kém
Nghệ An,24/09/2022,16:28,24°,Nhiều mây,23°/29°,95%,10 km,3.01 km/giờ,23 °C,0,Tốt
Hà Tĩnh,24/09/2022,16:28,24°,Mưa vừa,23°/29°,94%,10 km,3.87 km/giờ,23 °C,0,Trung bình
Quảng Bình,24/09/2022,16:28,24°,Nhiều mây,23°/29°,97%,10 km,0.99 km/giờ,24 °C,0,Tốt
Quảng Trị,24/09/2022,16:28,25°,Mưa nhẹ,23°/29°,95%,10 km,1.11 km/giờ,24 °C,0,Khá
Thừa Thiên Huế,24/09/2022,16:28,28°,Mây rải rác,23°/29°,83%,10 km,2.06 km/giờ,25 °C,0,Tốt
"Đà Nẵng",24/09/2022,16:28,28°,Mây cụm,24°/29°,78%,10 km,1.03 km/giờ,24 °C,0,Trung bình
Quảng Nam,24/09/2022,16:28,26°,Nhiều mây,23°/30°,88%,10 km,2.3 km/giờ,24 °C,0.72,Tốt
Quảng Ngãi,24/09/2022,16:28,26°,Nhiều mây,23°/30°,89%,10 km,1.43 km/giờ,24 °C,0,Tốt
Bình Định,24/09/2022,16:28,28°,Nhiều mây,24°/29°,80%,10 km,2.28 km/giờ,24 °C,0,Tốt
Phú Yên,24/09/2022,16:28,27°,Nhiều mây,21°/30°,77%,10 km,2.04 km/giờ,23 °C,0,Tốt
Khánh Hòa,24/09/2022,16:28,27°,Nhiều mây,23°/32°,86%,10 km,1.39 km/giờ,24 °C,0,Tốt
Ninh Thuận,24/09/2022,16:28,28°,Nhiều mây,24°/30°,84%,10 km,1.48 km/giờ,25 °C,0,Tốt
Bình Thuận,24/09/2022,16:28,28°,Nhiều mây,22°/29°,75%,10 km,1.67 km/giờ,23 °C,0,Khá
Kon Tum,24/09/2022,16:28,24°,Nhiều mây,19°/29°,93%,10 km,0.77 km/giờ,22 °C,0,Tốt
Gia Lai,24/09/2022,16:28,25°,Nhiều mây,20°/28°,89%,3.45 km,1.03 km/giờ,23 °C,0,Tốt
"Đắk Lắk",24/09/2022,16:28,25°,Nhiều mây,20°/26°,94%,6.53 km,0.4 km/giờ,23 °C,1.62,Tốt
"Đắk Nông",24/09/2022,16:28,25°,Nhiều mây,20°/26°,94%,6.53 km,0.4 km/giờ,23 °C,1.62,Tốt
Lâm Đồng,24/09/2022,16:28,22°,Nhiều mây,19°/25°,95%,10 km,0.6 km/giờ,22 °C,0,Tốt
Bình Phước,24/09/2022,16:28,27°,Mưa vừa,22°/28°,92%,4.96 km,1.55 km/giờ,26 °C,0,Tốt
Tây Ninh,24/09/2022,16:28,30°,Mưa cường độ nặng,23°/31°,71%,10 km,2.93 km/giờ,24 °C,1.34,Khá
Bình Dương,24/09/2022,16:28,27°,Mây rải rác,22°/30°,89%,5 km,4.63 km/giờ,26 °C,0,Khá
"Đồng Nai",24/09/2022,16:28,27°,Nhiều mây,22°/30°,74%,10 km,2.7 km/giờ,25 °C,0,Khá
Bà Rịa - Vũng Tàu,24/09/2022,16:28,29°,Mây cụm,22°/30°,70%,10 km,3.32 km/giờ,23 °C,0,Khá
Hồ Chí Minh,24/09/2022,16:28,27°,Mây rải rác,23°/31°,89%,5 km,4.63 km/giờ,25 °C,0.93,Trung bình
Long An,24/09/2022,16:28,31°,Mây cụm,23°/31°,66%,10 km,4.09 km/giờ,24 °C,0.72,Tốt
Tiền Giang,24/09/2022,16:28,29°,Mây cụm,23°/30°,74%,10 km,2.97 km/giờ,24 °C,0,Tốt
Bến Tre,24/09/2022,16:28,29°,Nhiều mây,23°/30°,76%,10 km,2.72 km/giờ,24 °C,0,Tốt
Trà Vinh,24/09/2022,16:28,30°,Mây cụm,24°/30°,71%,10 km,3.16 km/giờ,24 °C,0,Tốt
Vĩnh Long,24/09/2022,16:28,26°,Mây cụm,24°/30°,66%,10 km,4.27 km/giờ,19 °C,0,Tốt
"Đồng Tháp",24/09/2022,16:28,26°,Mây cụm,24°/31°,61%,10 km,6.21 km/giờ,18 °C,1.49,Tốt
An Giang,24/09/2022,16:28,26°,Mây cụm,24°/31°,63%,10 km,6.55 km/giờ,18 °C,1.45,Tốt
Kiên Giang,24/09/2022,16:28,29°,Mưa cường độ nặng,24°/30°,74%,10 km,7.03 km/giờ,24 °C,0,Tốt
Cần Thơ,24/09/2022,16:28,26°,Mây rải rác,24°/31°,89%,10 km,2.57 km/giờ,24 °C,1.49,Tốt
Hậu Giang,24/09/2022,16:28,26°,Nhiều mây,24°/31°,71%,10 km,5.28 km/giờ,20 °C,2.21,Tốt
Sóc Trăng,24/09/2022,16:28,30°,Mây cụm,24°/30°,68%,10 km,3.56 km/giờ,24 °C,0,Tốt
Bạc Liêu,24/09/2022,16:28,30°,Nhiều mây,25°/31°,70%,10 km,5.5 km/giờ,24 °C,0,Tốt
Cà Mau,24/09/2022,16:28,31°,Nhiều mây,24°/31°,63%,10 km,5.22 km/giờ,23 °C,0,Tốt
