Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,26/09/2022,20:10,23°,Mây rải rác,21°/35°,91%,10 km,0.42 km/giờ,22 °C,0,Rất kém
Cao Bằng,26/09/2022,20:10,25°,Mây cụm,22°/33°,83%,10 km,0.69 km/giờ,22 °C,0,Rất kém
Bắc Kạn,26/09/2022,20:10,24°,Mây rải rác,22°/34°,90%,10 km,0.41 km/giờ,22 °C,0,Rất kém
Tuyên Quang,26/09/2022,20:10,24°,Bầu trời quang đãng,22°/35°,91%,10 km,0.67 km/giờ,22 °C,0,Rất kém
Thái Nguyên,26/09/2022,20:10,29°,Nhiều mây,24°/34°,81%,10 km,1.22 km/giờ,25 °C,0,Rất kém
Lạng Sơn,26/09/2022,20:10,26°,Nhiều mây,22°/32°,77%,10 km,1.04 km/giờ,22 °C,0,Rất kém
Quảng Ninh,26/09/2022,20:10,26°,Nhiều mây,23°/34°,80%,10 km,0.61 km/giờ,22 °C,0,Rất kém
Bắc Giang,26/09/2022,20:10,29°,Nhiều mây,23°/34°,79%,10 km,2.41 km/giờ,25 °C,0,Rất kém
Phú Thọ,26/09/2022,20:10,26°,Bầu trời quang đãng,23°/33°,75%,10 km,0.32 km/giờ,22 °C,0,Rất kém
Lào Cai,26/09/2022,20:10,25°,Bầu trời quang đãng,22°/34°,83%,10 km,0.65 km/giờ,22 °C,0,Trung bình
"Điện Biên",26/09/2022,20:10,23°,Bầu trời quang đãng,19°/34°,83%,10 km,1.44 km/giờ,20 °C,0,Kém
Lai Châu,26/09/2022,20:10,23°,Mây thưa,21°/33°,94%,10 km,1.02 km/giờ,22 °C,0,Khá
Sơn La,26/09/2022,20:10,21°,Bầu trời quang đãng,19°/30°,90%,10 km,0.95 km/giờ,20 °C,0,Trung bình
Yên Bái,26/09/2022,20:10,26°,Bầu trời quang đãng,24°/32°,79%,10 km,0.74 km/giờ,22 °C,0,Rất kém
Hoà Bình,26/09/2022,20:10,25°,Nhiều mây,23°/33°,87%,10 km,1.48 km/giờ,23 °C,0,Rất kém
Hà Nội,26/09/2022,20:10,29°,Khói bụi,24°/34°,79%,3.9 km,1.54 km/giờ,25 °C,0,Rất kém
Vĩnh Phúc,26/09/2022,20:10,29°,Mây rải rác,24°/34°,77%,10 km,1.52 km/giờ,24 °C,0,Rất kém
Bắc Ninh,26/09/2022,20:10,29°,Nhiều mây,23°/34°,79%,10 km,2.73 km/giờ,25 °C,0,Rất kém
Hải Dương,26/09/2022,20:10,28°,Nhiều mây,23°/33°,81%,10 km,2.02 km/giờ,24 °C,0,Rất kém
Hải Phòng,26/09/2022,20:10,28°,Bầu trời quang đãng,24°/33°,83%,10 km,1.54 km/giờ,25 °C,0,Rất kém
Hưng Yên,26/09/2022,20:10,26°,Nhiều mây,23°/34°,81%,10 km,1.9 km/giờ,22 °C,0,Rất kém
Thái Bình,26/09/2022,20:10,27°,Nhiều mây,24°/33°,77%,10 km,1.11 km/giờ,22 °C,0,Rất kém
Hà Nam,26/09/2022,20:10,26°,Nhiều mây,23°/34°,82%,10 km,1.89 km/giờ,22 °C,0,Rất kém
Nam Định,26/09/2022,20:10,26°,Nhiều mây,24°/33°,78%,10 km,1.26 km/giờ,22 °C,0,Rất kém
Ninh Bình,26/09/2022,20:10,26°,Nhiều mây,23°/33°,80%,10 km,0.94 km/giờ,22 °C,0,Rất kém
Thanh Hóa,26/09/2022,20:10,25°,Nhiều mây,23°/33°,85%,10 km,0.41 km/giờ,23 °C,0,Rất kém
Nghệ An,26/09/2022,20:10,26°,Nhiều mây,23°/30°,79%,10 km,0.81 km/giờ,22 °C,0,Rất kém
Hà Tĩnh,26/09/2022,20:10,25°,Nhiều mây,23°/30°,82%,10 km,1.03 km/giờ,22 °C,0,Rất kém
Quảng Bình,26/09/2022,20:10,24°,Mây cụm,23°/30°,92%,10 km,1.34 km/giờ,23 °C,0,Rất kém
