Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,11/10/2022,20:04,22°,Nhiều mây,19°/29°,77%,10 km,0.37 km/giờ,18 °C,0,Kém
Cao Bằng,11/10/2022,20:04,20°,Nhiều mây,15°/27°,68%,10 km,0.51 km/giờ,14 °C,0,Trung bình
Bắc Kạn,11/10/2022,20:04,19°,Mây cụm,16°/28°,74%,10 km,1.38 km/giờ,15 °C,0,Kém
Tuyên Quang,11/10/2022,20:04,21°,Mây cụm,17°/30°,75%,10 km,1.05 km/giờ,17 °C,0,Kém
Thái Nguyên,11/10/2022,20:04,24°,Bầu trời quang đãng,17°/29°,64%,10 km,1.55 km/giờ,18 °C,0,Rất kém
Lạng Sơn,11/10/2022,20:04,18°,Bầu trời quang đãng,15°/26°,68%,10 km,1.45 km/giờ,12 °C,0,Kém
Quảng Ninh,11/10/2022,20:04,20°,Bầu trời quang đãng,17°/29°,61%,10 km,1.07 km/giờ,12 °C,0,Kém
Bắc Giang,11/10/2022,20:04,24°,Bầu trời quang đãng,17°/29°,62%,10 km,2.85 km/giờ,17 °C,0,Rất kém
Phú Thọ,11/10/2022,20:04,21°,Bầu trời quang đãng,18°/29°,68%,10 km,1.98 km/giờ,15 °C,0,Rất kém
Lào Cai,11/10/2022,20:04,23°,Nhiều mây,19°/28°,76%,10 km,0.7 km/giờ,18 °C,0,Trung bình
"Điện Biên",11/10/2022,20:04,22°,Nhiều mây,20°/29°,79%,10 km,1.38 km/giờ,19 °C,0,Kém
Lai Châu,11/10/2022,20:04,22°,Nhiều mây,20°/27°,80%,10 km,1.27 km/giờ,19 °C,0,Khá
Sơn La,11/10/2022,20:04,19°,Mây rải rác,16°/26°,87%,10 km,1.11 km/giờ,16 °C,0,Kém
Yên Bái,11/10/2022,20:04,22°,Mây rải rác,19°/27°,71%,10 km,1.7 km/giờ,16 °C,0,Kém
Hoà Bình,11/10/2022,20:04,21°,Bầu trời quang đãng,18°/28°,71%,10 km,0.86 km/giờ,16 °C,0,Rất kém
Hà Nội,11/10/2022,20:04,25°,Mây thưa,18°/29°,61%,9 km,0.51 km/giờ,17 °C,0,Rất kém
Vĩnh Phúc,11/10/2022,20:04,24°,Bầu trời quang đãng,18°/29°,63%,10 km,2.35 km/giờ,16 °C,0,Rất kém
Bắc Ninh,11/10/2022,20:04,24°,Bầu trời quang đãng,18°/29°,62%,10 km,3.06 km/giờ,16 °C,0,Rất kém
Hải Dương,11/10/2022,20:04,24°,Bầu trời quang đãng,18°/28°,69%,10 km,2.75 km/giờ,18 °C,0,Rất kém
Hải Phòng,11/10/2022,20:04,24°,Bầu trời quang đãng,18°/28°,60%,10 km,1.54 km/giờ,16 °C,0,Kém
Hưng Yên,11/10/2022,20:04,21°,Bầu trời quang đãng,18°/28°,69%,10 km,2 km/giờ,15 °C,0,Rất kém
Thái Bình,11/10/2022,20:04,22°,Bầu trời quang đãng,19°/28°,59%,10 km,2.2 km/giờ,14 °C,0,Rất kém
Hà Nam,11/10/2022,20:04,21°,Bầu trời quang đãng,18°/28°,69%,10 km,1.74 km/giờ,15 °C,0,Rất kém
Nam Định,11/10/2022,20:04,22°,Bầu trời quang đãng,19°/28°,63%,10 km,1.94 km/giờ,14 °C,0,Rất kém
Ninh Bình,11/10/2022,20:04,21°,Bầu trời quang đãng,18°/28°,65%,10 km,1.67 km/giờ,14 °C,0,Rất kém
Thanh Hóa,11/10/2022,20:04,21°,Bầu trời quang đãng,19°/28°,64%,10 km,1.84 km/giờ,14 °C,0,Rất kém
Nghệ An,11/10/2022,20:04,22°,Mây cụm,20°/26°,66%,10 km,1.57 km/giờ,16 °C,0,Rất kém
Hà Tĩnh,11/10/2022,20:04,22°,Mây thưa,20°/26°,72%,10 km,1.41 km/giờ,17 °C,0,Rất kém
Quảng Bình,11/10/2022,20:04,21°,Mây cụm,19°/26°,88%,10 km,1.65 km/giờ,19 °C,0,Kém
Quảng Trị,11/10/2022,20:04,23°,Nhiều mây,22°/26°,87%,10 km,2.16 km/giờ,20 °C,0,Kém
Thừa Thiên Huế,11/10/2022,20:04,24°,Mây cụm,22°/25°,83%,7 km,1.03 km/giờ,21 °C,0,Kém
"Đà Nẵng",11/10/2022,20:04,24°,Mây cụm,23°/26°,88%,8 km,2.57 km/giờ,22 °C,0,Kém
Quảng Nam,11/10/2022,20:04,25°,Nhiều mây,23°/27°,86%,7.56 km,4.74 km/giờ,22 °C,0,Rất kém
Quảng Ngãi,11/10/2022,20:04,24°,Nhiều mây,23°/27°,90%,6.03 km,3.49 km/giờ,23 °C,0,Rất kém
Bình Định,11/10/2022,20:04,26°,Mưa cường độ nặng,23°/27°,87%,5.94 km,6.97 km/giờ,23 °C,0,Kém
Phú Yên,11/10/2022,20:04,22°,Mưa nhẹ,20°/26°,97%,4.94 km,1.86 km/giờ,22 °C,0,Trung bình
Khánh Hòa,11/10/2022,20:04,25°,Mưa cường độ nặng,22°/28°,96%,10 km,1.65 km/giờ,24 °C,0,Khá
Ninh Thuận,11/10/2022,20:04,24°,Nhiều mây,23°/31°,91%,10 km,2.46 km/giờ,23 °C,0,Khá
Bình Thuận,11/10/2022,20:04,23°,Nhiều mây,21°/30°,92%,10 km,1.05 km/giờ,22 °C,0,Tốt
Kon Tum,11/10/2022,20:04,21°,Nhiều mây,18°/30°,91%,10 km,1.64 km/giờ,20 °C,0,Khá
Gia Lai,11/10/2022,20:04,21°,Mưa vừa,19°/26°,98%,6.81 km,1.91 km/giờ,21 °C,0,Kém
"Đắk Lắk",11/10/2022,20:04,21°,Mưa vừa,19°/28°,97%,10 km,2.25 km/giờ,20 °C,0,Tốt
"Đắk Nông",11/10/2022,20:04,21°,Mưa vừa,19°/28°,97%,10 km,2.25 km/giờ,20 °C,0,Tốt
Lâm Đồng,11/10/2022,20:05,19°,Nhiều mây,17°/28°,97%,10 km,1.18 km/giờ,19 °C,0,Tốt
Bình Phước,11/10/2022,20:05,22°,Nhiều mây,20°/33°,98%,10 km,1.5 km/giờ,22 °C,0,Khá
Tây Ninh,11/10/2022,20:05,25°,Nhiều mây,23°/32°,89%,10 km,2.77 km/giờ,23 °C,0,Tốt
Bình Dương,11/10/2022,20:05,26°,Mây rải rác,23°/32°,94%,8 km,1.03 km/giờ,25 °C,0,Trung bình
"Đồng Nai",11/10/2022,20:05,26°,Nhiều mây,23°/32°,94%,10 km,2.41 km/giờ,25 °C,0,Trung bình
Bà Rịa - Vũng Tàu,11/10/2022,20:05,23°,Nhiều mây,22°/31°,98%,9.91 km,1.58 km/giờ,23 °C,0,Khá
