Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,27/09/2022,21:33,26°,Nhiều mây,22°/34°,72%,10 km,1.2 km/giờ,20 °C,0,Rất kém
Cao Bằng,27/09/2022,21:33,25°,Nhiều mây,22°/29°,77%,10 km,1.53 km/giờ,20 °C,0,Rất kém
Bắc Kạn,27/09/2022,21:33,25°,Nhiều mây,23°/30°,78%,10 km,1.33 km/giờ,21 °C,0,Rất kém
Tuyên Quang,27/09/2022,21:33,27°,Nhiều mây,22°/32°,74%,10 km,0.69 km/giờ,21 °C,0,Rất kém
Thái Nguyên,27/09/2022,21:33,28°,Nhiều mây,23°/28°,70%,10 km,1.82 km/giờ,22 °C,0,Rất kém
Lạng Sơn,27/09/2022,21:33,25°,Nhiều mây,22°/27°,73%,10 km,1.66 km/giờ,20 °C,0,Rất kém
Quảng Ninh,27/09/2022,21:33,26°,Nhiều mây,23°/28°,88%,9.28 km,1.76 km/giờ,24 °C,0,Rất kém
Bắc Giang,27/09/2022,21:33,28°,Mây cụm,23°/28°,69%,10 km,1.21 km/giờ,22 °C,0,Rất kém
Phú Thọ,27/09/2022,21:33,27°,Nhiều mây,22°/27°,70%,10 km,1.39 km/giờ,21 °C,0,Rất kém
Lào Cai,27/09/2022,21:33,25°,Mây thưa,23°/33°,74%,10 km,0.78 km/giờ,20 °C,0,Kém
"Điện Biên",27/09/2022,21:33,22°,Mây rải rác,20°/33°,83%,10 km,1.4 km/giờ,19 °C,0,Kém
Lai Châu,27/09/2022,21:33,23°,Mây rải rác,22°/33°,79%,10 km,1.31 km/giờ,20 °C,0,Kém
Sơn La,27/09/2022,21:33,21°,Nhiều mây,20°/25°,85%,10 km,1.12 km/giờ,19 °C,0,Kém
Yên Bái,27/09/2022,21:33,28°,Nhiều mây,23°/28°,69%,10 km,1.12 km/giờ,22 °C,0,Rất kém
Hoà Bình,27/09/2022,21:33,26°,Nhiều mây,23°/26°,78%,10 km,1.34 km/giờ,22 °C,0,Rất kém
Hà Nội,27/09/2022,21:33,28°,Khói bụi,23°/29°,78%,5 km,1.54 km/giờ,24 °C,0,Rất kém
Vĩnh Phúc,27/09/2022,21:34,28°,Nhiều mây,23°/29°,69%,10 km,1.57 km/giờ,23 °C,0,Rất kém
Bắc Ninh,27/09/2022,21:34,28°,Nhiều mây,23°/28°,68%,10 km,1.35 km/giờ,22 °C,0,Rất kém
Hải Dương,27/09/2022,21:34,30°,Nhiều mây,23°/30°,77%,10 km,1.9 km/giờ,26 °C,0,Rất kém
Hải Phòng,27/09/2022,21:34,30°,Bầu trời quang đãng,24°/30°,66%,10 km,2.57 km/giờ,23 °C,0,Rất kém
Hưng Yên,27/09/2022,21:34,27°,Nhiều mây,23°/27°,76%,10 km,1.54 km/giờ,22 °C,0,Rất kém
Thái Bình,27/09/2022,21:34,27°,Nhiều mây,24°/27°,76%,10 km,2.53 km/giờ,22 °C,0,Rất kém
Hà Nam,27/09/2022,21:34,27°,Nhiều mây,23°/27°,75%,10 km,1.24 km/giờ,22 °C,0,Rất kém
Nam Định,27/09/2022,21:34,27°,Nhiều mây,23°/27°,75%,10 km,2 km/giờ,22 °C,0,Rất kém
Ninh Bình,27/09/2022,21:34,27°,Nhiều mây,23°/27°,75%,10 km,1.15 km/giờ,22 °C,0,Rất kém
Thanh Hóa,27/09/2022,21:34,26°,Nhiều mây,23°/26°,80%,10 km,0.82 km/giờ,23 °C,0,Rất kém
Nghệ An,27/09/2022,21:34,26°,Mưa nhẹ,24°/28°,83%,10 km,2.85 km/giờ,23 °C,0,Rất kém
Hà Tĩnh,27/09/2022,21:34,25°,Nhiều mây,24°/29°,90%,7.25 km,3.07 km/giờ,23 °C,0,Rất kém
Quảng Bình,27/09/2022,21:34,24°,Mưa vừa,24°/29°,98%,3.21 km,2.7 km/giờ,23 °C,0,Rất kém
