Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,19/09/2022,19:06,27°,Mây thưa,22°/35°,79%,10 km,0.64 km/giờ,23 °C,0,Rất kém
Cao Bằng,19/09/2022,19:06,26°,Mây thưa,22°/32°,76%,10 km,0.52 km/giờ,22 °C,0,Kém
Bắc Kạn,19/09/2022,19:06,27°,Mây cụm,23°/34°,82%,10 km,0.72 km/giờ,24 °C,0,Rất kém
Tuyên Quang,19/09/2022,19:06,27°,Mây cụm,23°/36°,80%,10 km,0.48 km/giờ,24 °C,0,Rất kém
Thái Nguyên,19/09/2022,19:06,31°,Mây cụm,24°/34°,72%,10 km,1.16 km/giờ,25 °C,0,Rất kém
Lạng Sơn,19/09/2022,19:06,27°,Mây cụm,22°/31°,74%,10 km,1.23 km/giờ,22 °C,0,Khá
Quảng Ninh,19/09/2022,19:06,27°,Mây cụm,24°/34°,82%,10 km,0.82 km/giờ,24 °C,0,Rất kém
Bắc Giang,19/09/2022,19:06,31°,Mây cụm,24°/33°,74%,10 km,3.03 km/giờ,26 °C,0,Rất kém
Phú Thọ,19/09/2022,19:07,28°,Mây cụm,23°/34°,77%,10 km,1.64 km/giờ,24 °C,0,Rất kém
Lào Cai,19/09/2022,19:07,27°,Mây thưa,23°/34°,85%,10 km,0.9 km/giờ,24 °C,0,Kém
"Điện Biên",19/09/2022,19:07,27°,Mây cụm,21°/34°,78%,10 km,1.04 km/giờ,22 °C,0,Tốt
Lai Châu,19/09/2022,19:07,25°,Mây cụm,22°/34°,91%,10 km,0.82 km/giờ,24 °C,0,Tốt
Sơn La,19/09/2022,19:07,23°,Mây cụm,20°/31°,93%,10 km,1.04 km/giờ,22 °C,0,Khá
Yên Bái,19/09/2022,19:07,29°,Mây cụm,24°/33°,79%,10 km,1.28 km/giờ,25 °C,0,Rất kém
Hoà Bình,19/09/2022,19:07,28°,Mây cụm,24°/34°,83%,10 km,0.91 km/giờ,25 °C,0,Rất kém
Hà Nội,19/09/2022,19:07,31°,Bầu trời quang đãng,24°/34°,70%,10 km,2.57 km/giờ,25 °C,0,Rất kém
Vĩnh Phúc,19/09/2022,19:07,31°,Mây cụm,24°/34°,71%,10 km,1.6 km/giờ,25 °C,0,Rất kém
Bắc Ninh,19/09/2022,19:07,31°,Mây cụm,24°/33°,74%,10 km,3.2 km/giờ,26 °C,0,Rất kém
Hải Dương,19/09/2022,19:07,31°,Mây cụm,25°/34°,84%,10 km,2.96 km/giờ,28 °C,0,Rất kém
Hải Phòng,19/09/2022,19:07,31°,Bầu trời quang đãng,25°/33°,74%,10 km,3.09 km/giờ,26 °C,0,Rất kém
Hưng Yên,19/09/2022,19:07,27°,Nhiều mây,25°/35°,81%,10 km,2.99 km/giờ,24 °C,0,Rất kém
Thái Bình,19/09/2022,19:07,28°,Mây cụm,26°/33°,77%,10 km,3.24 km/giờ,23 °C,0,Rất kém
Hà Nam,19/09/2022,19:07,27°,Nhiều mây,25°/35°,82%,10 km,2.82 km/giờ,24 °C,0,Rất kém
Nam Định,19/09/2022,19:07,28°,Mây cụm,26°/34°,79%,10 km,3.15 km/giờ,24 °C,0,Rất kém
Ninh Bình,19/09/2022,19:07,27°,Mây cụm,25°/34°,80%,10 km,2.63 km/giờ,24 °C,0,Rất kém
Thanh Hóa,19/09/2022,19:07,27°,Mây cụm,24°/33°,81%,10 km,2.09 km/giờ,24 °C,0,Rất kém
Nghệ An,19/09/2022,19:07,28°,Nhiều mây,25°/31°,80%,10 km,2.47 km/giờ,24 °C,0,Rất kém
Hà Tĩnh,19/09/2022,19:07,27°,Nhiều mây,25°/32°,82%,10 km,2.06 km/giờ,24 °C,0,Kém
Quảng Bình,19/09/2022,19:07,26°,Nhiều mây,24°/34°,90%,10 km,0.82 km/giờ,25 °C,0,Khá
Quảng Trị,19/09/2022,19:07,27°,Nhiều mây,24°/34°,84%,10 km,2.25 km/giờ,24 °C,0,Khá
Thừa Thiên Huế,19/09/2022,19:07,30°,Mây rải rác,23°/32°,74%,10 km,1.03 km/giờ,24 °C,0,Tốt
"Đà Nẵng",19/09/2022,19:07,30°,Mây thưa,25°/30°,74%,10 km,1.03 km/giờ,25 °C,0,Tốt
Quảng Nam,19/09/2022,19:07,27°,Nhiều mây,24°/31°,84%,10 km,1.19 km/giờ,24 °C,0,Khá
Quảng Ngãi,19/09/2022,19:07,26°,Nhiều mây,23°/30°,86%,10 km,1.05 km/giờ,24 °C,0,Kém
Bình Định,19/09/2022,19:07,27°,Nhiều mây,23°/29°,82%,10 km,1.96 km/giờ,24 °C,0,Kém
Phú Yên,19/09/2022,19:07,23°,Mưa nhẹ,22°/31°,94%,10 km,0.17 km/giờ,22 °C,0,Tốt
Khánh Hòa,19/09/2022,19:07,26°,Mây cụm,24°/31°,89%,10 km,0.36 km/giờ,24 °C,0,Khá
Ninh Thuận,19/09/2022,19:07,27°,Mây cụm,24°/30°,83%,10 km,1.41 km/giờ,24 °C,0,Tốt
Bình Thuận,19/09/2022,19:07,24°,Mây cụm,22°/32°,88%,10 km,2.33 km/giờ,22 °C,0,Tốt
Kon Tum,19/09/2022,19:07,22°,Nhiều mây,21°/28°,97%,8.77 km,0.6 km/giờ,22 °C,0,Tốt
Gia Lai,19/09/2022,19:07,23°,Nhiều mây,21°/28°,94%,4.3 km,0.51 km/giờ,22 °C,0,Tốt
"Đắk Lắk",19/09/2022,19:07,21°,Nhiều mây,20°/28°,98%,5.7 km,1.09 km/giờ,21 °C,0,Tốt
"Đắk Nông",19/09/2022,19:07,21°,Nhiều mây,20°/28°,98%,5.7 km,1.09 km/giờ,21 °C,0,Tốt
Lâm Đồng,19/09/2022,19:07,20°,Nhiều mây,19°/27°,97%,10 km,1.68 km/giờ,20 °C,0,Tốt
Bình Phước,19/09/2022,19:07,23°,Mưa nhẹ,22°/28°,97%,5.43 km,0.39 km/giờ,23 °C,0,Tốt
Tây Ninh,19/09/2022,19:07,26°,Nhiều mây,24°/29°,80%,10 km,2.86 km/giờ,23 °C,0,Tốt
Bình Dương,19/09/2022,19:07,28°,Mây rải rác,24°/30°,89%,10 km,0 km/giờ,26 °C,0,Khá
"Đồng Nai",19/09/2022,19:07,29°,Nhiều mây,24°/30°,80%,10 km,2.83 km/giờ,24 °C,0,Kém
Bà Rịa - Vũng Tàu,19/09/2022,19:07,26°,Mây cụm,23°/29°,78%,10 km,2.36 km/giờ,21 °C,0,Kém
Hồ Chí Minh,19/09/2022,19:07,28°,Mây rải rác,24°/31°,89%,10 km,0 km/giờ,26 °C,0,Trung bình
Long An,19/09/2022,19:07,26°,Mưa nhẹ,24°/30°,77%,10 km,3.06 km/giờ,22 °C,0,Khá
Tiền Giang,19/09/2022,19:07,26°,Mây cụm,24°/30°,80%,10 km,3.01 km/giờ,22 °C,0,Kém
Bến Tre,19/09/2022,19:07,26°,Mây cụm,24°/30°,79%,10 km,3.39 km/giờ,22 °C,0,Kém
Trà Vinh,19/09/2022,19:07,26°,Mây cụm,24°/30°,78%,10 km,4.02 km/giờ,22 °C,0,Khá
Vĩnh Long,19/09/2022,19:07,26°,Mây cụm,25°/31°,75%,10 km,4.75 km/giờ,21 °C,0,Kém
"Đồng Tháp",19/09/2022,19:07,26°,Mây cụm,25°/31°,74%,10 km,4.54 km/giờ,22 °C,0,Kém
An Giang,19/09/2022,19:07,26°,Mây rải rác,25°/31°,75%,10 km,4.97 km/giờ,22 °C,0,Tốt
Kiên Giang,19/09/2022,19:07,28°,Mây rải rác,26°/30°,75%,10 km,6.87 km/giờ,23 °C,0,Tốt
Cần Thơ,19/09/2022,19:07,26°,Mây rải rác,24°/31°,83%,10 km,2.57 km/giờ,23 °C,0,Tốt
Hậu Giang,19/09/2022,19:07,26°,Mây cụm,25°/30°,79%,10 km,4.39 km/giờ,23 °C,0,Tốt
Sóc Trăng,19/09/2022,19:08,26°,Mây cụm,25°/31°,80%,10 km,3.8 km/giờ,22 °C,0,Tốt
Bạc Liêu,19/09/2022,19:08,27°,Nhiều mây,25°/30°,82%,10 km,4.9 km/giờ,23 °C,0,Tốt
Cà Mau,19/09/2022,19:08,26°,Mây cụm,25°/31°,84%,10 km,2.78 km/giờ,23 °C,0,Tốt
