Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,02/10/2022,18:14,23°,Nhiều mây,21°/33°,99%,10 km,1.08 km/giờ,23 °C,0,Tốt
Cao Bằng,02/10/2022,18:14,24°,Nhiều mây,21°/31°,96%,10 km,0.91 km/giờ,23 °C,0,Tốt
Bắc Kạn,02/10/2022,18:14,24°,Nhiều mây,22°/31°,98%,10 km,0.46 km/giờ,23 °C,0,Tốt
Tuyên Quang,02/10/2022,18:14,24°,Nhiều mây,22°/33°,98%,10 km,0.57 km/giờ,23 °C,0,Tốt
Thái Nguyên,02/10/2022,18:14,29°,Nhiều mây,23°/32°,94%,10 km,0.93 km/giờ,28 °C,0,Trung bình
Lạng Sơn,02/10/2022,18:14,24°,Nhiều mây,22°/31°,92%,10 km,0.95 km/giờ,23 °C,0,Tốt
Quảng Ninh,02/10/2022,18:14,25°,Mây cụm,23°/31°,93%,10 km,0.58 km/giờ,24 °C,0,Tốt
Bắc Giang,02/10/2022,18:14,29°,Nhiều mây,23°/32°,90%,10 km,0.25 km/giờ,27 °C,0,Kém
Phú Thọ,02/10/2022,18:14,24°,Nhiều mây,22°/32°,97%,10 km,1.1 km/giờ,23 °C,0,Khá
Lào Cai,02/10/2022,18:14,24°,Nhiều mây,22°/32°,99%,4.64 km,0.31 km/giờ,24 °C,0,Tốt
"Điện Biên",02/10/2022,18:14,23°,Nhiều mây,20°/32°,99%,10 km,0.9 km/giờ,23 °C,0,Tốt
Lai Châu,02/10/2022,18:14,24°,Nhiều mây,22°/30°,98%,9.02 km,1.28 km/giờ,24 °C,0,Tốt
Sơn La,02/10/2022,18:14,21°,Nhiều mây,19°/29°,99%,10 km,1.28 km/giờ,21 °C,0,Tốt
Yên Bái,02/10/2022,18:14,24°,Nhiều mây,23°/31°,97%,10 km,1.24 km/giờ,24 °C,0,Khá
Hoà Bình,02/10/2022,18:14,24°,Nhiều mây,23°/31°,97%,10 km,0.68 km/giờ,24 °C,0,Trung bình
Hà Nội,02/10/2022,18:14,29°,Mây thưa,23°/31°,74%,10 km,4.12 km/giờ,24 °C,0,Kém
Vĩnh Phúc,02/10/2022,18:14,29°,Nhiều mây,23°/31°,95%,10 km,1.44 km/giờ,28 °C,0,Kém
Bắc Ninh,02/10/2022,18:14,29°,Nhiều mây,23°/31°,91%,10 km,0.52 km/giờ,26 °C,0,Kém
Hải Dương,02/10/2022,18:14,27°,Nhiều mây,23°/31°,92%,10 km,0.29 km/giờ,26 °C,0,Khá
Hải Phòng,02/10/2022,18:14,27°,Mây thưa,24°/30°,83%,10 km,2.06 km/giờ,24 °C,0,Khá
Hưng Yên,02/10/2022,18:14,24°,Nhiều mây,23°/31°,94%,10 km,0.43 km/giờ,23 °C,0,Kém
Thái Bình,02/10/2022,18:14,25°,Nhiều mây,23°/30°,91%,10 km,0.71 km/giờ,23 °C,0,Trung bình
Hà Nam,02/10/2022,18:14,24°,Nhiều mây,23°/31°,94%,10 km,0.59 km/giờ,23 °C,0,Kém
Nam Định,02/10/2022,18:14,25°,Nhiều mây,23°/30°,92%,10 km,0.27 km/giờ,23 °C,0,Kém
Ninh Bình,02/10/2022,18:14,24°,Nhiều mây,23°/31°,94%,10 km,0.71 km/giờ,23 °C,0,Kém
Thanh Hóa,02/10/2022,18:15,24°,Nhiều mây,22°/31°,95%,10 km,1.28 km/giờ,23 °C,0,Khá
Nghệ An,02/10/2022,18:15,25°,Nhiều mây,23°/29°,93%,10 km,1.56 km/giờ,24 °C,0,Tốt
Hà Tĩnh,02/10/2022,18:15,25°,Nhiều mây,23°/29°,92%,10 km,1.62 km/giờ,23 °C,0,Tốt
Quảng Bình,02/10/2022,18:15,25°,Nhiều mây,24°/30°,96%,10 km,0.82 km/giờ,24 °C,0,Tốt
Quảng Trị,02/10/2022,18:15,26°,Nhiều mây,23°/29°,90%,10 km,2.81 km/giờ,24 °C,0,Tốt
Thừa Thiên Huế,02/10/2022,18:15,29°,Mưa nhẹ,23°/29°,79%,10 km,6.69 km/giờ,25 °C,0,Tốt
"Đà Nẵng",02/10/2022,18:15,29°,Mây rải rác,25°/29°,74%,10 km,3.09 km/giờ,24 °C,0,Tốt
Quảng Nam,02/10/2022,18:15,26°,Mây cụm,23°/28°,88%,10 km,2.63 km/giờ,24 °C,0,Tốt
Quảng Ngãi,02/10/2022,18:15,25°,Nhiều mây,23°/30°,88%,10 km,1.27 km/giờ,23 °C,0,Tốt
Bình Định,02/10/2022,18:15,26°,Nhiều mây,24°/28°,84%,8.17 km,1.97 km/giờ,23 °C,0,Tốt
Phú Yên,02/10/2022,18:15,23°,Nhiều mây,21°/28°,96%,10 km,1.45 km/giờ,22 °C,0,Tốt
Khánh Hòa,02/10/2022,18:15,28°,Nhiều mây,23°/30°,92%,10 km,0.82 km/giờ,26 °C,0,Tốt
Ninh Thuận,02/10/2022,18:15,26°,Nhiều mây,24°/31°,89%,10 km,2.81 km/giờ,24 °C,0,Khá
Bình Thuận,02/10/2022,18:15,24°,Nhiều mây,22°/32°,91%,10 km,1.06 km/giờ,23 °C,0,Tốt
Kon Tum,02/10/2022,18:15,22°,Nhiều mây,19°/31°,94%,8.43 km,1.07 km/giờ,21 °C,0,Tốt
Gia Lai,02/10/2022,18:15,22°,Nhiều mây,20°/27°,96%,10 km,1.66 km/giờ,22 °C,0,Tốt
