Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,12/10/2022,12:19,27°,Mây cụm,17°/29°,54%,10 km,1.27 km/giờ,17 °C,0,Kém
Cao Bằng,12/10/2022,12:19,26°,Mây cụm,15°/28°,37%,10 km,2.01 km/giờ,10 °C,0,Kém
Bắc Kạn,12/10/2022,12:19,27°,Mây rải rác,16°/29°,37%,10 km,1.58 km/giờ,12 °C,8.96,Trung bình
Tuyên Quang,12/10/2022,12:19,29°,Mây rải rác,17°/30°,41%,10 km,1.16 km/giờ,14 °C,8.96,Kém
Thái Nguyên,12/10/2022,12:19,28°,Bầu trời quang đãng,17°/29°,38%,10 km,1.8 km/giờ,12 °C,0,Kém
Lạng Sơn,12/10/2022,12:19,25°,Bầu trời quang đãng,15°/26°,38%,10 km,2.68 km/giờ,9 °C,0,Rất kém
Quảng Ninh,12/10/2022,12:19,28°,Mây thưa,17°/29°,37%,10 km,1.74 km/giờ,12 °C,0,Kém
Bắc Giang,12/10/2022,12:19,28°,Bầu trời quang đãng,18°/29°,40%,10 km,3.23 km/giờ,13 °C,0,Kém
Phú Thọ,12/10/2022,12:19,28°,Mây thưa,18°/29°,48%,10 km,1.75 km/giờ,16 °C,0,Kém
Lào Cai,12/10/2022,12:20,28°,Mây rải rác,20°/29°,52%,10 km,1.47 km/giờ,17 °C,6.76,Kém
"Điện Biên",12/10/2022,12:20,28°,Nhiều mây,16°/30°,53%,10 km,0.81 km/giờ,18 °C,0,Kém
Lai Châu,12/10/2022,12:20,25°,Nhiều mây,18°/29°,70%,10 km,0.52 km/giờ,19 °C,0,Trung bình
Sơn La,12/10/2022,12:20,26°,Mây cụm,15°/26°,55%,10 km,1.45 km/giờ,16 °C,7.08,Kém
Yên Bái,12/10/2022,12:20,27°,Mây rải rác,19°/27°,50%,10 km,1.43 km/giờ,16 °C,0,Kém
Hoà Bình,12/10/2022,12:20,28°,Bầu trời quang đãng,19°/28°,51%,10 km,1.85 km/giờ,17 °C,0,Rất kém
Hà Nội,12/10/2022,12:20,28°,Bầu trời quang đãng,19°/29°,34%,10 km,2.57 km/giờ,11 °C,0,Rất kém
Vĩnh Phúc,12/10/2022,12:20,28°,Bầu trời quang đãng,19°/29°,46%,10 km,1.79 km/giờ,15 °C,9.39,Kém
Bắc Ninh,12/10/2022,12:20,28°,Bầu trời quang đãng,18°/29°,42%,10 km,3.04 km/giờ,14 °C,0,Kém
Hải Dương,12/10/2022,12:20,29°,Bầu trời quang đãng,18°/29°,44%,10 km,2.07 km/giờ,16 °C,9.41,Rất kém
Hải Phòng,12/10/2022,12:20,29°,Bầu trời quang đãng,19°/29°,32%,10 km,3.09 km/giờ,14 °C,0,Rất kém
Hưng Yên,12/10/2022,12:20,28°,Bầu trời quang đãng,18°/28°,46%,10 km,1.87 km/giờ,15 °C,9.41,Rất kém
Thái Bình,12/10/2022,12:20,27°,Bầu trời quang đãng,19°/28°,47%,10 km,1.96 km/giờ,15 °C,9.53,Rất kém
Hà Nam,12/10/2022,12:21,28°,Bầu trời quang đãng,19°/28°,46%,10 km,1.8 km/giờ,15 °C,0,Rất kém
Nam Định,12/10/2022,12:21,28°,Bầu trời quang đãng,19°/28°,47%,10 km,1.62 km/giờ,15 °C,9.53,Rất kém
Ninh Bình,12/10/2022,12:21,28°,Bầu trời quang đãng,19°/28°,50%,10 km,1.97 km/giờ,16 °C,0,Rất kém
Thanh Hóa,12/10/2022,12:21,27°,Bầu trời quang đãng,18°/28°,53%,10 km,2.21 km/giờ,17 °C,9.53,Rất kém
Nghệ An,12/10/2022,12:21,26°,Mây thưa,20°/26°,64%,10 km,3.11 km/giờ,18 °C,0,Rất kém
Hà Tĩnh,12/10/2022,12:21,26°,Mây rải rác,20°/26°,67%,10 km,3.8 km/giờ,19 °C,0,Rất kém
Quảng Bình,12/10/2022,12:21,27°,Mây cụm,20°/27°,64%,10 km,3.92 km/giờ,19 °C,0,Rất kém
Quảng Trị,12/10/2022,12:21,23°,Nhiều mây,22°/26°,83%,10 km,2.12 km/giờ,20 °C,0,Kém
Thừa Thiên Huế,12/10/2022,12:21,23°,Mây cụm,21°/25°,88%,7 km,2.57 km/giờ,21 °C,1.39,Kém
"Đà Nẵng",12/10/2022,12:21,28°,Mây cụm,22°/28°,65%,10 km,2.06 km/giờ,22 °C,0,Rất kém
Quảng Nam,12/10/2022,12:21,26°,Mây rải rác,21°/27°,83%,10 km,4.9 km/giờ,23 °C,5.76,Rất kém
Quảng Ngãi,12/10/2022,12:21,27°,Mây cụm,21°/27°,79%,10 km,5.98 km/giờ,23 °C,10.27,Rất kém
Bình Định,12/10/2022,12:21,26°,Nhiều mây,22°/27°,82%,8.42 km,8.24 km/giờ,23 °C,10.33,Rất kém
Phú Yên,12/10/2022,12:21,25°,Mây cụm,20°/25°,82%,10 km,3.52 km/giờ,22 °C,0,Rất kém
Khánh Hòa,12/10/2022,12:21,27°,Nhiều mây,21°/29°,68%,10 km,3.69 km/giờ,22 °C,9.75,Khá
Ninh Thuận,12/10/2022,12:21,30°,Mưa vừa,22°/30°,63%,10 km,5.03 km/giờ,22 °C,10.06,Khá
Bình Thuận,12/10/2022,12:21,29°,Mây cụm,21°/29°,67%,10 km,2.13 km/giờ,22 °C,0,Tốt
Kon Tum,12/10/2022,12:21,30°,Mây rải rác,18°/30°,49%,10 km,1.88 km/giờ,18 °C,0,Khá
Gia Lai,12/10/2022,12:21,27°,Mây rải rác,19°/27°,68%,10 km,4.94 km/giờ,20 °C,0,Kém
"Đắk Lắk",12/10/2022,12:21,27°,Mây cụm,18°/27°,60%,10 km,3.19 km/giờ,19 °C,10.3,Trung bình
"Đắk Nông",12/10/2022,12:21,27°,Mây cụm,18°/27°,60%,10 km,3.19 km/giờ,19 °C,10.3,Trung bình
