Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,30/09/2022,10:23,23°,Nhiều mây,22°/27°,99%,10 km,0.76 km/giờ,23 °C,0,Kém
Cao Bằng,30/09/2022,10:23,24°,Nhiều mây,22°/26°,98%,10 km,1.33 km/giờ,23 °C,0,Kém
Bắc Kạn,30/09/2022,10:23,24°,Nhiều mây,22°/26°,98%,8.74 km,1.28 km/giờ,24 °C,0,Khá
Tuyên Quang,30/09/2022,10:23,25°,Nhiều mây,22°/26°,96%,10 km,0.66 km/giờ,24 °C,0,Kém
Thái Nguyên,30/09/2022,10:23,29°,Nhiều mây,23°/30°,98%,5.25 km,1.89 km/giờ,30 °C,6.19,Khá
Lạng Sơn,30/09/2022,10:23,22°,Nhiều mây,22°/25°,97%,10 km,0.55 km/giờ,22 °C,0,Khá
Quảng Ninh,30/09/2022,10:23,24°,Nhiều mây,24°/26°,97%,1.91 km,1.25 km/giờ,24 °C,0.43,Tốt
Bắc Giang,30/09/2022,10:23,29°,Nhiều mây,23°/30°,94%,10 km,2.45 km/giờ,29 °C,0,Khá
Phú Thọ,30/09/2022,10:23,24°,Nhiều mây,23°/27°,97%,10 km,0.5 km/giờ,23 °C,0,Kém
Lào Cai,30/09/2022,10:23,24°,Nhiều mây,23°/27°,98%,10 km,0.2 km/giờ,24 °C,5.44,Kém
"Điện Biên",30/09/2022,10:24,25°,Nhiều mây,21°/29°,85%,10 km,1.07 km/giờ,22 °C,2.62,Kém
Lai Châu,30/09/2022,10:24,27°,Nhiều mây,22°/28°,81%,10 km,1.3 km/giờ,23 °C,4.44,Khá
Sơn La,30/09/2022,10:24,22°,Mưa nhẹ,20°/26°,96%,10 km,0.58 km/giờ,22 °C,0,Khá
Yên Bái,30/09/2022,10:24,24°,Nhiều mây,24°/25°,95%,10 km,1.54 km/giờ,24 °C,4.14,Kém
Hoà Bình,30/09/2022,10:24,24°,Nhiều mây,24°/27°,98%,8.77 km,0.7 km/giờ,24 °C,0,Kém
Hà Nội,30/09/2022,10:24,30°,Mây cụm,23°/29°,70%,10 km,3.09 km/giờ,24 °C,0.62,Kém
Vĩnh Phúc,30/09/2022,10:24,30°,Nhiều mây,23°/30°,97%,7.87 km,1.6 km/giờ,29 °C,0,Kém
Bắc Ninh,30/09/2022,10:24,30°,Nhiều mây,23°/30°,93%,10 km,1.98 km/giờ,29 °C,0,Kém
Hải Dương,30/09/2022,10:24,30°,Nhiều mây,24°/29°,93%,10 km,2.55 km/giờ,28 °C,1.12,Trung bình
Hải Phòng,30/09/2022,10:24,29°,Mây thưa,24°/29°,79%,10 km,5.66 km/giờ,25 °C,0,Tốt
Hưng Yên,30/09/2022,10:24,25°,Nhiều mây,23°/27°,92%,10 km,2.36 km/giờ,23 °C,1.12,Kém
Thái Bình,30/09/2022,10:24,25°,Nhiều mây,24°/28°,90%,10 km,3.52 km/giờ,23 °C,2.95,Trung bình
Hà Nam,30/09/2022,10:24,25°,Nhiều mây,23°/27°,92%,10 km,2.28 km/giờ,23 °C,1.03,Kém
Nam Định,30/09/2022,10:24,25°,Nhiều mây,24°/27°,91%,10 km,3.33 km/giờ,23 °C,0,Kém
Ninh Bình,30/09/2022,10:24,25°,Mưa nhẹ,24°/27°,93%,10 km,4.02 km/giờ,24 °C,0,Kém
Thanh Hóa,30/09/2022,10:24,24°,Mưa cường độ nặng,24°/25°,96%,6.58 km,1.99 km/giờ,24 °C,0,Kém
Nghệ An,30/09/2022,10:24,28°,Mưa vừa,24°/28°,84%,10 km,2.62 km/giờ,25 °C,3.4,Kém
Hà Tĩnh,30/09/2022,10:24,28°,Nhiều mây,24°/28°,84%,10 km,2.46 km/giờ,25 °C,0,Khá
Quảng Bình,30/09/2022,10:24,28°,Mưa nhẹ,24°/29°,83%,10 km,0.73 km/giờ,25 °C,0,Tốt
Quảng Trị,30/09/2022,10:24,30°,Nhiều mây,24°/30°,69%,10 km,0.69 km/giờ,24 °C,0,Tốt
Thừa Thiên Huế,30/09/2022,10:24,32°,Mây thưa,24°/32°,62%,10 km,3.09 km/giờ,24 °C,6.65,Khá
"Đà Nẵng",30/09/2022,10:24,32°,Mây thưa,25°/33°,58%,10 km,0.51 km/giờ,23 °C,0,Khá
Quảng Nam,30/09/2022,10:24,31°,Nhiều mây,24°/31°,67%,10 km,0.47 km/giờ,24 °C,0,Khá
Quảng Ngãi,30/09/2022,10:24,28°,Nhiều mây,24°/30°,77%,10 km,1.05 km/giờ,24 °C,0,Kém
Bình Định,30/09/2022,10:24,29°,Nhiều mây,24°/30°,69%,10 km,0.3 km/giờ,23 °C,0,Tốt
Phú Yên,30/09/2022,10:24,30°,Nhiều mây,22°/31°,61%,10 km,1.66 km/giờ,21 °C,8.2,Tốt
Khánh Hòa,30/09/2022,10:24,32°,Nhiều mây,24°/32°,62%,10 km,1.29 km/giờ,24 °C,9.17,Khá
Ninh Thuận,30/09/2022,10:24,31°,Nhiều mây,24°/31°,63%,10 km,3.91 km/giờ,23 °C,9.33,Tốt
Bình Thuận,30/09/2022,10:24,28°,Nhiều mây,22°/29°,71%,10 km,0.97 km/giờ,22 °C,8.6,Tốt
Kon Tum,30/09/2022,10:24,26°,Nhiều mây,20°/27°,76%,10 km,1.62 km/giờ,22 °C,7.6,Tốt
Gia Lai,30/09/2022,10:24,28°,Nhiều mây,21°/29°,71%,10 km,3.56 km/giờ,22 °C,0,Tốt
"Đắk Lắk",30/09/2022,10:24,27°,Nhiều mây,20°/29°,62%,10 km,2.02 km/giờ,20 °C,0,Tốt
"Đắk Nông",30/09/2022,10:24,27°,Nhiều mây,20°/29°,62%,10 km,2.02 km/giờ,20 °C,0,Tốt
Lâm Đồng,30/09/2022,10:24,26°,Nhiều mây,19°/26°,67%,10 km,1.09 km/giờ,19 °C,8.6,Tốt
Bình Phước,30/09/2022,10:24,29°,Nhiều mây,22°/29°,70%,10 km,2.47 km/giờ,23 °C,6.65,Tốt
Tây Ninh,30/09/2022,10:24,29°,Nhiều mây,24°/30°,71%,10 km,3.66 km/giờ,24 °C,0,Tốt
Bình Dương,30/09/2022,10:24,28°,Mây rải rác,24°/30°,83%,10 km,4.12 km/giờ,25 °C,0,Tốt
"Đồng Nai",30/09/2022,10:24,28°,Mây cụm,24°/30°,70%,10 km,2.44 km/giờ,22 °C,0,Kém
Bà Rịa - Vũng Tàu,30/09/2022,10:24,28°,Nhiều mây,23°/30°,79%,10 km,2.04 km/giờ,24 °C,8.58,Tốt
Hồ Chí Minh,30/09/2022,10:24,28°,Mây rải rác,24°/31°,83%,10 km,4.12 km/giờ,25 °C,8.54,Khá
Long An,30/09/2022,10:24,30°,Mây cụm,24°/31°,68%,10 km,3.19 km/giờ,24 °C,0,Tốt
Tiền Giang,30/09/2022,10:24,31°,Mây cụm,23°/31°,65%,10 km,2.38 km/giờ,23 °C,0,Tốt
Bến Tre,30/09/2022,10:25,31°,Mây cụm,23°/31°,63%,10 km,2.26 km/giờ,23 °C,8.58,Tốt
Trà Vinh,30/09/2022,10:25,31°,Mây cụm,23°/31°,65%,10 km,3.38 km/giờ,23 °C,8.6,Tốt
Vĩnh Long,30/09/2022,10:25,30°,Nhiều mây,24°/31°,63%,10 km,3.25 km/giờ,20 °C,8.43,Tốt
"Đồng Tháp",30/09/2022,10:25,30°,Nhiều mây,24°/31°,65%,10 km,3.88 km/giờ,21 °C,8.43,Tốt
An Giang,30/09/2022,10:25,30°,Nhiều mây,24°/31°,67%,10 km,3.87 km/giờ,21 °C,0,Tốt
Kiên Giang,30/09/2022,10:25,27°,Nhiều mây,24°/29°,80%,10 km,3.5 km/giờ,24 °C,8.29,Tốt
Cần Thơ,30/09/2022,10:25,28°,Mây cụm,24°/32°,89%,10 km,5.66 km/giờ,25 °C,0,Tốt
Hậu Giang,30/09/2022,10:25,28°,Nhiều mây,24°/30°,84%,10 km,3.56 km/giờ,27 °C,0,Tốt
Sóc Trăng,30/09/2022,10:25,29°,Mây cụm,23°/30°,73%,10 km,5.1 km/giờ,24 °C,0,Tốt
Bạc Liêu,30/09/2022,10:25,29°,Nhiều mây,24°/29°,75%,10 km,4.86 km/giờ,24 °C,7.37,Tốt
Cà Mau,30/09/2022,10:25,29°,Mưa nhẹ,23°/30°,77%,10 km,4.36 km/giờ,24 °C,6.78,Tốt
