Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,18/09/2022,19:03,27°,Nhiều mây,23°/35°,79%,10 km,0.77 km/giờ,23 °C,0,Khá
Cao Bằng,18/09/2022,19:03,26°,Mây cụm,23°/34°,83%,10 km,1.14 km/giờ,23 °C,0,Khá
Bắc Kạn,18/09/2022,19:03,26°,Nhiều mây,23°/35°,86%,10 km,0.47 km/giờ,23 °C,0,Rất kém
Tuyên Quang,18/09/2022,19:03,27°,Nhiều mây,23°/36°,86%,10 km,0.39 km/giờ,24 °C,0,Kém
Thái Nguyên,18/09/2022,19:03,31°,Mây cụm,24°/35°,78%,10 km,1.61 km/giờ,27 °C,0,Rất kém
Lạng Sơn,18/09/2022,19:03,26°,Mây rải rác,23°/34°,76%,10 km,1.58 km/giờ,21 °C,0,Rất kém
Quảng Ninh,18/09/2022,19:03,27°,Mây cụm,24°/35°,82%,10 km,0.95 km/giờ,24 °C,0,Kém
Bắc Giang,18/09/2022,19:03,31°,Mây cụm,25°/35°,82%,10 km,3.1 km/giờ,28 °C,0,Rất kém
Phú Thọ,18/09/2022,19:03,28°,Mây rải rác,24°/34°,78%,10 km,1.63 km/giờ,24 °C,0,Kém
Lào Cai,18/09/2022,19:03,26°,Mây cụm,24°/34°,93%,10 km,0.76 km/giờ,25 °C,0,Kém
"Điện Biên",18/09/2022,19:03,25°,Nhiều mây,22°/35°,86%,10 km,1.17 km/giờ,23 °C,0,Tốt
Lai Châu,18/09/2022,19:03,25°,Nhiều mây,23°/33°,94%,10 km,0.81 km/giờ,24 °C,0,Tốt
Sơn La,18/09/2022,19:03,23°,Mây cụm,20°/32°,95%,10 km,0.95 km/giờ,22 °C,0,Khá
Yên Bái,18/09/2022,19:03,27°,Mây cụm,24°/33°,83%,10 km,1.25 km/giờ,24 °C,0,Kém
Hoà Bình,18/09/2022,19:03,27°,Mây rải rác,24°/34°,88%,10 km,1.46 km/giờ,25 °C,0,Rất kém
Hà Nội,18/09/2022,19:03,31°,Mây cụm,25°/34°,70%,8 km,3.09 km/giờ,25 °C,0,Rất kém
Vĩnh Phúc,18/09/2022,19:03,31°,Mây rải rác,25°/34°,78%,10 km,2.19 km/giờ,27 °C,0,Rất kém
Bắc Ninh,18/09/2022,19:03,31°,Mây cụm,25°/34°,81%,10 km,3.1 km/giờ,27 °C,0,Rất kém
Hải Dương,18/09/2022,19:03,30°,Mây cụm,25°/34°,84%,10 km,2.96 km/giờ,27 °C,0,Kém
Hải Phòng,18/09/2022,19:03,30°,Bầu trời quang đãng,25°/34°,74%,10 km,2.57 km/giờ,25 °C,0,Kém
Hưng Yên,18/09/2022,19:03,27°,Mây cụm,25°/35°,84%,10 km,2.6 km/giờ,24 °C,0,Rất kém
Thái Bình,18/09/2022,19:03,28°,Mây rải rác,26°/33°,79%,10 km,3.05 km/giờ,24 °C,0,Kém
Hà Nam,18/09/2022,19:03,27°,Mây cụm,25°/35°,85%,10 km,2.52 km/giờ,24 °C,0,Rất kém
Nam Định,18/09/2022,19:03,27°,Mây rải rác,26°/34°,81%,10 km,2.88 km/giờ,24 °C,0,Rất kém
Ninh Bình,18/09/2022,19:03,27°,Mây cụm,25°/34°,83%,10 km,2.32 km/giờ,24 °C,0,Rất kém
