Tỉnh,Ngày,Giờ,Nhiệt độ hiện tại," Trời",Nhiệt độ cao/thấp nhất,Độ ẩm,Tầm Nhìn,Sức gió,Điểm Ngưng,Chỉ số UV,Chất lượng không khí
Hà Giang,20/09/2022,17:53,26°,Mây cụm,21°/32°,89%,10 km,0.84 km/giờ,24 °C,0,Kém
Cao Bằng,20/09/2022,17:53,25°,Mây cụm,22°/31°,92%,10 km,1.4 km/giờ,24 °C,0,Kém
Bắc Kạn,20/09/2022,17:53,25°,Nhiều mây,22°/32°,95%,10 km,0.85 km/giờ,24 °C,0,Kém
Tuyên Quang,20/09/2022,17:53,26°,Nhiều mây,22°/30°,94%,10 km,1.63 km/giờ,24 °C,0,Kém
Thái Nguyên,20/09/2022,17:53,29°,Nhiều mây,23°/32°,95%,8.21 km,0.85 km/giờ,28 °C,0,Rất kém
Lạng Sơn,20/09/2022,17:53,25°,Mây cụm,22°/30°,91%,10 km,1.4 km/giờ,23 °C,0,Kém
Quảng Ninh,20/09/2022,17:53,27°,Mây cụm,24°/31°,84%,10 km,0.58 km/giờ,24 °C,0,Kém
Bắc Giang,20/09/2022,17:53,28°,Nhiều mây,24°/32°,91%,10 km,4.23 km/giờ,26 °C,0,Rất kém
Phú Thọ,20/09/2022,17:53,29°,Nhiều mây,23°/32°,71%,10 km,1.92 km/giờ,24 °C,0,Rất kém
Lào Cai,20/09/2022,17:53,28°,Mưa nhẹ,23°/32°,80%,10 km,0.85 km/giờ,24 °C,0,Kém
"Điện Biên",20/09/2022,17:53,27°,Mây cụm,21°/33°,71%,10 km,1.2 km/giờ,21 °C,0,Tốt
Lai Châu,20/09/2022,17:53,26°,Mây rải rác,22°/31°,87%,10 km,1.32 km/giờ,24 °C,0,Tốt
Sơn La,20/09/2022,17:53,24°,Mây cụm,20°/30°,87%,10 km,0.73 km/giờ,22 °C,0,Trung bình
Yên Bái,20/09/2022,17:53,29°,Mưa cường độ nặng,24°/31°,79%,10 km,0.91 km/giờ,25 °C,0,Rất kém
Hoà Bình,20/09/2022,17:53,29°,Mây rải rác,24°/31°,77%,10 km,0.67 km/giờ,24 °C,0,Rất kém
Hà Nội,20/09/2022,17:53,29°,Mây thưa,24°/31°,74%,9 km,3.6 km/giờ,24 °C,0,Rất kém
Vĩnh Phúc,20/09/2022,17:53,29°,Nhiều mây,24°/31°,77%,10 km,3.76 km/giờ,24 °C,0,Rất kém
Bắc Ninh,20/09/2022,17:53,29°,Mây cụm,24°/32°,89%,10 km,5.19 km/giờ,27 °C,0,Rất kém
Hải Dương,20/09/2022,17:53,29°,Mây cụm,24°/31°,88%,10 km,4.49 km/giờ,27 °C,0,Rất kém
Hải Phòng,20/09/2022,17:53,29°,Bầu trời quang đãng,24°/31°,84%,10 km,2.06 km/giờ,26 °C,0,Rất kém
Hưng Yên,20/09/2022,17:53,28°,Mây rải rác,23°/31°,81%,10 km,3.4 km/giờ,24 °C,0,Rất kém
Thái Bình,20/09/2022,17:53,28°,Mây rải rác,24°/31°,77%,10 km,2.72 km/giờ,24 °C,0,Rất kém
Hà Nam,20/09/2022,17:53,28°,Mây rải rác,23°/30°,78%,10 km,3.28 km/giờ,24 °C,0,Rất kém
Nam Định,20/09/2022,17:54,28°,Mây rải rác,24°/31°,78%,10 km,3.02 km/giờ,24 °C,0,Rất kém
Ninh Bình,20/09/2022,17:54,28°,Mây cụm,23°/31°,78%,10 km,2.89 km/giờ,25 °C,0,Rất kém
Thanh Hóa,20/09/2022,17:54,28°,Mây cụm,24°/32°,80%,10 km,2.58 km/giờ,24 °C,0,Rất kém
Nghệ An,20/09/2022,17:54,28°,Mây cụm,24°/30°,80%,10 km,2.54 km/giờ,24 °C,0,Khá
Hà Tĩnh,20/09/2022,17:54,28°,Nhiều mây,24°/31°,80%,10 km,2.01 km/giờ,24 °C,0,Trung bình
Quảng Bình,20/09/2022,17:54,27°,Nhiều mây,24°/32°,87%,10 km,1.03 km/giờ,24 °C,0,Khá
Quảng Trị,20/09/2022,17:54,27°,Nhiều mây,24°/31°,78%,10 km,1.93 km/giờ,23 °C,0,Khá
Thừa Thiên Huế,20/09/2022,17:54,31°,Mây thưa,24°/31°,66%,10 km,3.09 km/giờ,24 °C,0,Khá
"Đà Nẵng",20/09/2022,17:54,31°,Mây thưa,24°/31°,66%,10 km,4.63 km/giờ,25 °C,0,Tốt
Quảng Nam,20/09/2022,17:54,27°,Nhiều mây,24°/30°,81%,10 km,2.13 km/giờ,24 °C,0.32,Kém
Quảng Ngãi,20/09/2022,17:54,27°,Nhiều mây,24°/31°,81%,10 km,1.44 km/giờ,24 °C,0,Kém
Bình Định,20/09/2022,17:54,27°,Nhiều mây,25°/29°,80%,10 km,2.64 km/giờ,23 °C,0,Khá
Phú Yên,20/09/2022,17:54,23°,Nhiều mây,22°/30°,95%,10 km,0.97 km/giờ,23 °C,0,Tốt
Khánh Hòa,20/09/2022,17:54,29°,Mây cụm,24°/31°,90%,6.85 km,0.4 km/giờ,27 °C,0.25,Tốt
Ninh Thuận,20/09/2022,17:54,27°,Nhiều mây,24°/31°,88%,10 km,2.72 km/giờ,24 °C,0,Tốt
Bình Thuận,20/09/2022,17:54,25°,Nhiều mây,22°/31°,88%,10 km,2.4 km/giờ,23 °C,0,Tốt
Kon Tum,20/09/2022,17:54,23°,Mưa vừa,21°/27°,96%,10 km,0.44 km/giờ,22 °C,0,Tốt
Gia Lai,20/09/2022,17:54,24°,Nhiều mây,21°/28°,89%,10 km,1.3 km/giờ,22 °C,0,Tốt
"Đắk Lắk",20/09/2022,17:54,22°,Mưa cường độ nặng,20°/29°,99%,10 km,1.03 km/giờ,21 °C,0,Tốt
"Đắk Nông",20/09/2022,17:54,22°,Mưa cường độ nặng,20°/29°,99%,10 km,1.03 km/giờ,21 °C,0,Tốt
Lâm Đồng,20/09/2022,17:54,21°,Nhiều mây,19°/28°,97%,10 km,1.34 km/giờ,22 °C,0.32,Tốt
Bình Phước,20/09/2022,17:54,24°,Mưa nhẹ,22°/30°,93%,10 km,1.22 km/giờ,22 °C,0,Tốt
Tây Ninh,20/09/2022,17:54,26°,Nhiều mây,24°/32°,85%,10 km,2.21 km/giờ,23 °C,0,Khá
Bình Dương,20/09/2022,17:54,28°,Mưa vừa,24°/31°,78%,10 km,2.57 km/giờ,24 °C,0,Khá
"Đồng Nai",20/09/2022,17:54,28°,Nhiều mây,24°/31°,87%,10 km,2.65 km/giờ,26 °C,0,Kém
Bà Rịa - Vũng Tàu,20/09/2022,17:54,25°,Nhiều mây,23°/30°,89%,10 km,2.9 km/giờ,24 °C,0.4,Khá
Hồ Chí Minh,20/09/2022,17:54,28°,Mây rải rác,24°/31°,78%,10 km,4.63 km/giờ,24 °C,0,Kém
Long An,20/09/2022,17:54,26°,Mưa nhẹ,24°/30°,84%,10 km,3.56 km/giờ,23 °C,0,Khá
Tiền Giang,20/09/2022,17:54,26°,Nhiều mây,24°/31°,83%,10 km,3.62 km/giờ,23 °C,0,Khá
Bến Tre,20/09/2022,17:54,26°,Nhiều mây,24°/31°,82%,10 km,3.71 km/giờ,23 °C,0,Khá
Trà Vinh,20/09/2022,17:54,27°,Nhiều mây,24°/31°,76%,10 km,4.8 km/giờ,22 °C,0,Tốt
Vĩnh Long,20/09/2022,17:54,27°,Nhiều mây,24°/31°,76%,10 km,5.83 km/giờ,22 °C,0,Khá
"Đồng Tháp",20/09/2022,17:54,27°,Nhiều mây,25°/31°,73%,10 km,5.82 km/giờ,22 °C,0,Khá
An Giang,20/09/2022,17:54,27°,Nhiều mây,25°/32°,72%,10 km,6.11 km/giờ,21 °C,0,Tốt
Kiên Giang,20/09/2022,17:54,27°,Nhiều mây,26°/30°,77%,10 km,7.81 km/giờ,23 °C,0,Tốt
Cần Thơ,20/09/2022,17:54,27°,Mây thưa,24°/31°,78%,10 km,4.12 km/giờ,23 °C,0,Tốt
Hậu Giang,20/09/2022,17:54,27°,Nhiều mây,24°/31°,78%,10 km,5.66 km/giờ,23 °C,0,Tốt
Sóc Trăng,20/09/2022,17:54,27°,Nhiều mây,24°/31°,77%,10 km,4.77 km/giờ,22 °C,0,Tốt
Bạc Liêu,20/09/2022,17:54,27°,Mây cụm,25°/31°,72%,10 km,6.28 km/giờ,22 °C,0,Tốt
Cà Mau,20/09/2022,17:54,26°,Mây cụm,24°/32°,81%,10 km,3.57 km/giờ,23 °C,0,Tốt
